FGBLZ1990,FGBL Z1990-EUX,"",,19901206
FGBLH1991,FGBL H1991-EUX,"",,19910307
FGBLM1991,FGBL M1991-EUX,"",,19910606
FGBLU1991,FGBL U1991-EUX,"",,19910906
FGBLZ1991,FGBL Z1991-EUX,"",,19911206
FGBLH1992,FGBL H1992-EUX,"",,19920306
FGBLM1992,FGBL M1992-EUX,"",,19920605
FGBLU1992,FGBL U1992-EUX,"",,19920908
FGBLZ1992,FGBL Z1992-EUX,"",,19921208
FGBLH1993,FGBL H1993-EUX,"",,19930308
FGBLM1993,FGBL M1993-EUX,"",,19930608
FGBLU1993,FGBL U1993-EUX,"",,19930908
FGBLZ1993,FGBL Z1993-EUX,"",,19931208
FGBLH1994,FGBL H1994-EUX,"",,19940308
FGBLM1994,FGBL M1994-EUX,"",,19940609
FGBLU1994,FGBL U1994-EUX,"",,19940908
FGBLZ1994,FGBL Z1994-EUX,"",,19941209
FGBLH1995,FGBL H1995-EUX,"",,19950308
FGBLM1995,FGBL M1995-EUX,"",,19950608
FGBLU1995,FGBL U1995-EUX,"",,19950907
FGBLZ1995,FGBL Z1995-EUX,"",,19951207
FGBLH1996,FGBL H1996-EUX,"",,19960307
FGBLM1996,FGBL M1996-EUX,"",,19960605
FGBLU1996,FGBL U1996-EUX,"",,19960906
FGBLZ1996,FGBL Z1996-EUX,"",,19961206
FGBLH1997,FGBL H1997-EUX,"",,19970306
FGBLM1997,FGBL M1997-EUX,"",,19970606
FGBLU1997,FGBL U1997-EUX,"",,19970908
FGBLZ1997,FGBL Z1997-EUX,"",,19971208
FGBLH1998,FGBL H1998-EUX,"",,19980306
FGBLM1998,FGBL M1998-EUX,"",,19980608
FGBLU1998,FGBL U1998-EUX,"",,19980908
FGBLZ1998,FGBL Z1998-EUX,"",,19981208
FGBLH1999,FGBL H1999-EUX,"",,19990308
FGBLM1999,FGBL M1999-EUX,"",,19990608
FGBLU1999,FGBL U1999-EUX,"",,19990908
FGBLZ1999,FGBL Z1999-EUX,"",,19991208
FGBLH2000,FGBL H2000-EUX,"",,20000308
FGBLM2000,FGBL M2000-EUX,"",,20000608
FGBLU2000,FGBL U2000-EUX,"",,20000907
FGBLZ2000,FGBL Z2000-EUX,"",,20001207
FGBLH2001,FGBL H2001-EUX,"",,20010308
FGBLM2001,FGBL M2001-EUX,"",,20010607
FGBLU2001,FGBL U2001-EUX,"",,20010906
FGBLZ2001,FGBL Z2001-EUX,"",,20011206
FGBLH2002,FGBL H2002-EUX,"",,20020307
FGBLM2002,FGBL M2002-EUX,"",,20020606
FGBLU2002,FGBL U2002-EUX,"",,20020906
FGBLZ2002,FGBL Z2002-EUX,"",,20021206
FGBLH2003,FGBL H2003-EUX,"",,20030306
FGBLM2003,FGBL M2003-EUX,"",,20030606
FGBLU2003,FGBL U2003-EUX,"",,20030908
FGBLZ2003,FGBL Z2003-EUX,"",,20031208
FGBLH2004,FGBL H2004-EUX,"",,20040308
FGBLM2004,FGBL M2004-EUX,"",,20040608
FGBLU2004,FGBL U2004-EUX,"",,20040908
FGBLZ2004,FGBL Z2004-EUX,"",,20041208
FGBLH2005,FGBL H2005-EUX,"",,20050308
FGBLM2005,FGBL M2005-EUX,"",,20050608
FGBLU2005,FGBL U2005-EUX,"",,20050908
FGBLZ2005,FGBL Z2005-EUX,"",,20051208
FGBLH2006,FGBL H2006-EUX,"",,20060308
FGBLM2006,FGBL M2006-EUX,"",,20060608
FGBLU2006,FGBL U2006-EUX,"",,20060907
FGBLZ2006,FGBL Z2006-EUX,"",,20061207
FGBLH2007,FGBL H2007-EUX,"",,20070308
FGBLM2007,FGBL M2007-EUX,"",,20070607
FGBLU2007,FGBL U2007-EUX,"",,20070906
FGBLZ2007,FGBL Z2007-EUX,"",,20071206
FGBLH2008,FGBL H2008-EUX,"",,20080306
FGBLM2008,FGBL M2008-EUX,"",,20080606
FGBLU2008,FGBL U2008-EUX,"",,20080908
FGBLZ2008,FGBL Z2008-EUX,"",,20081208
FGBLH2009,FGBL H2009-EUX,"",,20090306
FGBLM2009,FGBL M2009-EUX,"",,20090608
FGBLU2009,FGBL U2009-EUX,"",,20090908
FGBLZ2009,FGBL Z2009-EUX,"",,20091208
FGBLH2010,FGBL H2010-EUX,"",,20100308
FGBLM2010,FGBL M2010-EUX,"",,20100608
FGBLU2010,FGBL U2010-EUX,"",,20100908
FGBLZ2010,FGBL Z2010-EUX,"",,20101208
FGBLH2011,FGBL H2011-EUX,"",,20110308
FGBLM2011,FGBL M2011-EUX,"",,20110608
FGBLU2011,FGBL U2011-EUX,"",,20110908
FGBLZ2011,FGBL Z2011-EUX,"",,20111208
FGBLH2012,FGBL H2012-EUX,"",,20120308
FGBLM2012,FGBL M2012-EUX,"",,20120607
FGBLU2012,FGBL U2012-EUX,"",,20120906
FGBLZ2012,FGBL Z2012-EUX,"",,20121206
FGBLH2013,FGBL H2013-EUX,"",,20130307
FGBLM2013,FGBL M2013-EUX,"",,20130606
FGBLU2013,FGBL U2013-EUX,"",,20130906
