EURINRJ2026,FUTCUR|EURINR|28-04-2026|0.0000|XX,,EURINR,20260428
EURINRK2026,FUTCUR|EURINR|26-05-2026|0.0000|XX,,EURINR,20260526
EURINRM2026,FUTCUR|EURINR|25-06-2026|0.0000|XX,,EURINR,20260625
EURINRN2026,FUTCUR|EURINR|29-07-2026|0.0000|XX,,EURINR,20260729
EURINRQ2026,FUTCUR|EURINR|27-08-2026|0.0000|XX,,EURINR,20260827
EURINRU2026,FUTCUR|EURINR|28-09-2026|0.0000|XX,,EURINR,20260928
EURINRV2026,FUTCUR|EURINR|28-10-2026|0.0000|XX,,EURINR,20261028
EURINRX2026,FUTCUR|EURINR|26-11-2026|0.0000|XX,,EURINR,20261126
EURINRZ2026,FUTCUR|EURINR|29-12-2026|0.0000|XX,,EURINR,20261229
EURINRF2027,FUTCUR|EURINR|27-01-2027|0.0000|XX,,EURINR,20270127
EURINRG2027,FUTCUR|EURINR|24-02-2027|0.0000|XX,,EURINR,20270224
EURINRH2027,FUTCUR|EURINR|29-03-2027|0.0000|XX,,EURINR,20270329
EURUSDG2026,FUTCUR|EURUSD|25-02-2026|0.0000|XX,,EURUSD,20260225
EURUSDH2026,FUTCUR|EURUSD|25-03-2026|0.0000|XX,,EURUSD,20260325
EURUSDJ2026,FUTCUR|EURUSD|28-04-2026|0.0000|XX,,EURUSD,20260428
EURUSDK2026,FUTCUR|EURUSD|26-05-2026|0.0000|XX,,EURUSD,20260526
EURUSDM2026,FUTCUR|EURUSD|25-06-2026|0.0000|XX,,EURUSD,20260625
EURUSDN2026,FUTCUR|EURUSD|29-07-2026|0.0000|XX,,EURUSD,20260729
EURUSDQ2026,FUTCUR|EURUSD|27-08-2026|0.0000|XX,,EURUSD,20260827
EURUSDU2026,FUTCUR|EURUSD|28-09-2026|0.0000|XX,,EURUSD,20260928
EURUSDV2026,FUTCUR|EURUSD|28-10-2026|0.0000|XX,,EURUSD,20261028
EURUSDX2026,FUTCUR|EURUSD|26-11-2026|0.0000|XX,,EURUSD,20261126
EURUSDZ2026,FUTCUR|EURUSD|29-12-2026|0.0000|XX,,EURUSD,20261229
EURUSDF2027,FUTCUR|EURUSD|27-01-2027|0.0000|XX,,EURUSD,20270127
EURUSDG2027,FUTCUR|EURUSD|24-02-2027|0.0000|XX,,EURUSD,20270224
EURUSDH2027,FUTCUR|EURUSD|29-03-2027|0.0000|XX,,EURUSD,20270329
GBPINRG2026,FUTCUR|GBPINR|25-02-2026|0.0000|XX,,GBPINR,20260225
GBPINRH2026,FUTCUR|GBPINR|25-03-2026|0.0000|XX,,GBPINR,20260325
GBPINRJ2026,FUTCUR|GBPINR|28-04-2026|0.0000|XX,,GBPINR,20260428
GBPINRK2026,FUTCUR|GBPINR|26-05-2026|0.0000|XX,,GBPINR,20260526
GBPINRM2026,FUTCUR|GBPINR|25-06-2026|0.0000|XX,,GBPINR,20260625
GBPINRN2026,FUTCUR|GBPINR|29-07-2026|0.0000|XX,,GBPINR,20260729
GBPINRQ2026,FUTCUR|GBPINR|27-08-2026|0.0000|XX,,GBPINR,20260827
GBPINRU2026,FUTCUR|GBPINR|28-09-2026|0.0000|XX,,GBPINR,20260928
GBPINRV2026,FUTCUR|GBPINR|28-10-2026|0.0000|XX,,GBPINR,20261028
GBPINRX2026,FUTCUR|GBPINR|26-11-2026|0.0000|XX,,GBPINR,20261126
GBPINRZ2026,FUTCUR|GBPINR|29-12-2026|0.0000|XX,,GBPINR,20261229
GBPINRF2027,FUTCUR|GBPINR|27-01-2027|0.0000|XX,,GBPINR,20270127
GBPINRG2027,FUTCUR|GBPINR|24-02-2027|0.0000|XX,,GBPINR,20270224
GBPINRH2027,FUTCUR|GBPINR|29-03-2027|0.0000|XX,,GBPINR,20270329
GBPUSDG2026,FUTCUR|GBPUSD|25-02-2026|0.0000|XX,,GBPUSD,20260225
GBPUSDH2026,FUTCUR|GBPUSD|25-03-2026|0.0000|XX,,GBPUSD,20260325
GBPUSDJ2026,FUTCUR|GBPUSD|28-04-2026|0.0000|XX,,GBPUSD,20260428
GBPUSDK2026,FUTCUR|GBPUSD|26-05-2026|0.0000|XX,,GBPUSD,20260526
GBPUSDM2026,FUTCUR|GBPUSD|25-06-2026|0.0000|XX,,GBPUSD,20260625
GBPUSDN2026,FUTCUR|GBPUSD|29-07-2026|0.0000|XX,,GBPUSD,20260729
GBPUSDQ2026,FUTCUR|GBPUSD|27-08-2026|0.0000|XX,,GBPUSD,20260827
GBPUSDU2026,FUTCUR|GBPUSD|28-09-2026|0.0000|XX,,GBPUSD,20260928
GBPUSDV2026,FUTCUR|GBPUSD|28-10-2026|0.0000|XX,,GBPUSD,20261028
GBPUSDX2026,FUTCUR|GBPUSD|26-11-2026|0.0000|XX,,GBPUSD,20261126
GBPUSDZ2026,FUTCUR|GBPUSD|29-12-2026|0.0000|XX,,GBPUSD,20261229
GBPUSDF2027,FUTCUR|GBPUSD|27-01-2027|0.0000|XX,,GBPUSD,20270127
GBPUSDG2027,FUTCUR|GBPUSD|24-02-2027|0.0000|XX,,GBPUSD,20270224
GBPUSDH2027,FUTCUR|GBPUSD|29-03-2027|0.0000|XX,,GBPUSD,20270329
JPYINRG2026,FUTCUR|JPYINR|25-02-2026|0.0000|XX,,JPYINR,20260225
JPYINRH2026,FUTCUR|JPYINR|25-03-2026|0.0000|XX,,JPYINR,20260325
JPYINRJ2026,FUTCUR|JPYINR|28-04-2026|0.0000|XX,,JPYINR,20260428
JPYINRK2026,FUTCUR|JPYINR|26-05-2026|0.0000|XX,,JPYINR,20260526
JPYINRM2026,FUTCUR|JPYINR|25-06-2026|0.0000|XX,,JPYINR,20260625
JPYINRN2026,FUTCUR|JPYINR|29-07-2026|0.0000|XX,,JPYINR,20260729
JPYINRQ2026,FUTCUR|JPYINR|27-08-2026|0.0000|XX,,JPYINR,20260827
JPYINRU2026,FUTCUR|JPYINR|28-09-2026|0.0000|XX,,JPYINR,20260928
JPYINRV2026,FUTCUR|JPYINR|28-10-2026|0.0000|XX,,JPYINR,20261028
JPYINRX2026,FUTCUR|JPYINR|26-11-2026|0.0000|XX,,JPYINR,20261126
JPYINRZ2026,FUTCUR|JPYINR|29-12-2026|0.0000|XX,,JPYINR,20261229
JPYINRF2027,FUTCUR|JPYINR|27-01-2027|0.0000|XX,,JPYINR,20270127
JPYINRG2027,FUTCUR|JPYINR|24-02-2027|0.0000|XX,,JPYINR,20270224
JPYINRH2027,FUTCUR|JPYINR|29-03-2027|0.0000|XX,,JPYINR,20270329
ONMIBORG2026,FUTIRC|ONMIBOR|27-02-2026|0.0000|XX,,ONMIBOR,20260227
ONMIBORH2026,FUTIRC|ONMIBOR|30-03-2026|0.0000|XX,,ONMIBOR,20260330
ONMIBORJ2026,FUTIRC|ONMIBOR|30-04-2026|0.0000|XX,,ONMIBOR,20260430
ONMIBORK2026,FUTIRC|ONMIBOR|29-05-2026|0.0000|XX,,ONMIBOR,20260529
ONMIBORM2026,FUTIRC|ONMIBOR|30-06-2026|0.0000|XX,,ONMIBOR,20260630
ONMIBORU2026,FUTIRC|ONMIBOR|30-09-2026|0.0000|XX,,ONMIBOR,20260930
ONMIBORZ2026,FUTIRC|ONMIBOR|31-12-2026|0.0000|XX,,ONMIBOR,20261231
ONMIBORH2027,FUTIRC|ONMIBOR|31-03-2027|0.0000|XX,,ONMIBOR,20270331
USDINRG2026,FUTCUR|USDINR|25-02-2026|0.0000|XX,,USDINR,20260225
USDINRH2026,FUTCUR|USDINR|25-03-2026|0.0000|XX,,USDINR,20260325
USDINRJ2026,FUTCUR|USDINR|28-04-2026|0.0000|XX,,USDINR,20260428
USDINRK2026,FUTCUR|USDINR|26-05-2026|0.0000|XX,,USDINR,20260526
USDINRM2026,FUTCUR|USDINR|25-06-2026|0.0000|XX,,USDINR,20260625
USDINRN2026,FUTCUR|USDINR|29-07-2026|0.0000|XX,,USDINR,20260729
USDINRQ2026,FUTCUR|USDINR|27-08-2026|0.0000|XX,,USDINR,20260827
USDINRU2026,FUTCUR|USDINR|28-09-2026|0.0000|XX,,USDINR,20260928
USDINRV2026,FUTCUR|USDINR|28-10-2026|0.0000|XX,,USDINR,20261028
USDINRX2026,FUTCUR|USDINR|26-11-2026|0.0000|XX,,USDINR,20261126
USDINRZ2026,FUTCUR|USDINR|29-12-2026|0.0000|XX,,USDINR,20261229
USDINRF2027,FUTCUR|USDINR|27-01-2027|0.0000|XX,,USDINR,20270127
USDINRG2027,FUTCUR|USDINR|24-02-2027|0.0000|XX,,USDINR,20270224
USDINRH2027,FUTCUR|USDINR|29-03-2027|0.0000|XX,,USDINR,20270329
USDJPYG2026,FUTCUR|USDJPY|25-02-2026|0.0000|XX,,USDJPY,20260225
USDJPYH2026,FUTCUR|USDJPY|25-03-2026|0.0000|XX,,USDJPY,20260325
USDJPYJ2026,FUTCUR|USDJPY|28-04-2026|0.0000|XX,,USDJPY,20260428
USDJPYK2026,FUTCUR|USDJPY|26-05-2026|0.0000|XX,,USDJPY,20260526
USDJPYM2026,FUTCUR|USDJPY|25-06-2026|0.0000|XX,,USDJPY,20260625
USDJPYN2026,FUTCUR|USDJPY|29-07-2026|0.0000|XX,,USDJPY,20260729
USDJPYQ2026,FUTCUR|USDJPY|27-08-2026|0.0000|XX,,USDJPY,20260827
USDJPYU2026,FUTCUR|USDJPY|28-09-2026|0.0000|XX,,USDJPY,20260928
USDJPYV2026,FUTCUR|USDJPY|28-10-2026|0.0000|XX,,USDJPY,20261028
USDJPYX2026,FUTCUR|USDJPY|26-11-2026|0.0000|XX,,USDJPY,20261126
USDJPYZ2026,FUTCUR|USDJPY|29-12-2026|0.0000|XX,,USDJPY,20261229
USDJPYF2027,FUTCUR|USDJPY|27-01-2027|0.0000|XX,,USDJPY,20270127
USDJPYG2027,FUTCUR|USDJPY|24-02-2027|0.0000|XX,,USDJPY,20270224
USDJPYH2027,FUTCUR|USDJPY|29-03-2027|0.0000|XX,,USDJPY,20270329
