SYMBOL_SERIES,SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
PASHUPATI.ST,PASHUPATI,Pashupati Cotspin Limited,ST,08-Sep-17,10,INE124Y01010,10,
TRANSWIND.SM,TRANSWIND,Transwind Infrastructures Limited,SM,12-Jul-17,10,INE792X01016,10,
ACCORD.SM,ACCORD,Accord Synergy Limited,SM,06-Jul-17,10,INE113X01015,10,
VSCL.ST,VSCL,Vadivarhe Speciality Chemicals Limited,ST,02-Jun-17,10,INE551Q01028,10,
JALAN.ST,JALAN,Jalan Transolutions (India) Limited,ST,31-May-17,10,INE349X01015,10,
ASLIND.SM,ASLIND,ASL Industries Limited,SM,18-Apr-17,10,INE617I01024,10,
PROLIFE.SM,PROLIFE,Prolife Industries Limited,SM,09-Jan-17,10,INE994V01012,10,
GICL.ST,GICL,Globe International Carriers Limited,ST,19-Oct-16,10,INE947T01014,10,
DRL.SM,DRL,Dhanuka Realty Limited,SM,18-Oct-16,10,INE704V01015,10,
AURDIS.ST,AURDIS,Aurangabad Distillery Limited,ST,17-Oct-16,10,INE448V01019,10,
GRETEX.ST,GRETEX,Gretex Industries Limited,ST,14-Oct-16,10,INE985P01012,10,
JETKNIT.ST,JETKNIT,Jet Knitwears Limited,ST,07-Oct-16,10,INE564T01017,10,
AVSL.ST,AVSL,AVSL Industries Limited,ST,06-Oct-16,10,INE522V01011,10,
KKVAPOW.SM,KKVAPOW,KKV Agro Powers Limited,SM,15-Jul-16,10,INE239T01016,10,
PERFECT.ST,PERFECT,Perfect Infraengineers Limited,ST,20-Nov-15,10,INE925S01012,10,
AHIMSA.ST,AHIMSA,Ahimsa Industries Limited,ST,15-Oct-15,10,INE136T01014,10,
SHAIVAL.ST,SHAIVAL,Shaival Reality Limited,ST,01-Oct-15,10,INE262S01010,10,
EMKAYTOOLS.SM,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,13-Aug-15,10,INE332S01011,10,
