SYMBOL_SERIES,SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
WTICAB.ST,WTICAB,Wise Travel India Limited,ST,19-Feb-24,10,INE623Y01011,10,
POLYSIL.SM,POLYSIL,Polysil Irrigation Systems Limited,SM,16-Feb-24,10,INE517M01028,10,
ALPEXSOLAR.SM,ALPEXSOLAR,Alpex Solar Limited,SM,15-Feb-24,10,INE0R4701017,10,
ITALIANE.SM,ITALIANE,Italian Edibles Limited,SM,12-Feb-24,10,INE0R7R01018,10,
BAWEJA.SM,BAWEJA,Baweja Studios Limited,SM,06-Feb-24,10,INE0JFJ01011,10,
MEGATHERM.SM,MEGATHERM,Megatherm Induction Limited,SM,05-Feb-24,10,INE531R01010,10,
FONEBOX.SM,FONEBOX,Fonebox Retail Limited,SM,02-Feb-24,10,INE0Q4701019,10,
DHTL.SM,DHTL,Docmode Health Technologies Limited,SM,02-Feb-24,10,INE0OGG01015,10,
DELAPLEX.SM,DELAPLEX,Delaplex Limited,SM,02-Feb-24,10,INE0SK801018,10,
LAWSIKHO.SM,LAWSIKHO,Addictive Learning Technology Limited,SM,30-Jan-24,10,INE0RDH01021,10,
KONSTELEC.ST,KONSTELEC,Konstelec Engineers Limited,ST,30-Jan-24,10,INE0QEI01011,10,
MAXPOSURE.SM,MAXPOSURE,Maxposure Limited,SM,23-Jan-24,10,INE0ECC01022,10,
APS.SM,APS,Australian Premium Solar (India) Limited,SM,18-Jan-24,10,INE0P0001010,10,
IBLFL.ST,IBLFL,IBL Finance Limited,ST,16-Jan-24,10,INE0O7401018,10,
KLL.SM,KLL,Kaushalya Logistics Limited,SM,08-Jan-24,10,INE0Q2V01012,10,
KCEIL.ST,KCEIL,Kay Cee Energy & Infra Limited,ST,05-Jan-24,10,INE0RCG01017,10,
HRHNEXT.ST,HRHNEXT,HRH Next Services Limited,ST,03-Jan-24,10,INE0R3501012,10,
AKANKSHA.ST,AKANKSHA,Akanksha Power and Infrastructure Limited,ST,03-Jan-24,10,INE0PCY01014,10,
SAIFL.SM,SAIFL,Sameera Agro And Infra Limited,SM,01-Jan-24,10,INE0PZA01015,10,
TECHLABS.ST,TECHLABS,Trident Techlabs Limited,ST,29-Dec-23,10,INE0QD201012,10,
SUPREMEPWR.ST,SUPREMEPWR,Supreme Power Equipment Limited,ST,29-Dec-23,10,INE0QHG01026,10,
INDIFRA.SM,INDIFRA,Indifra Limited,SM,29-Dec-23,10,INE0PS301014,10,
EFORCE.SM,EFORCE,Electro Force (India) Limited,SM,27-Dec-23,10,INE0Q1W01012,10,
SHREEOSFM.SM,SHREEOSFM,Shree OSFM E-Mobility Limited,SM,21-Dec-23,10,INE02S501018,10,
SJLOGISTIC.SM,SJLOGISTIC,S J Logistics (India) Limited,SM,19-Dec-23,10,INE0F3301020,10,
PRESSTONIC.ST,PRESSTONIC,Presstonic Engineering Limited,ST,18-Dec-23,10,INE0R1601012,10,
ACCENTMIC.SM,ACCENTMIC,Accent Microcell Limited,SM,15-Dec-23,10,INE0Q5D01013,10,
GRAPHISAD.ST,GRAPHISAD,Graphisads Limited,ST,13-Dec-23,10,INE0POU01017,10,
SHEETAL.SM,SHEETAL,Sheetal Universal Limited,SM,11-Dec-23,10,INE04VX01019,10,
MARINETRAN.ST,MARINETRAN,Marinetrans India Limited,ST,08-Dec-23,10,INE0P1P01017,10,
CBAZAAR.SM,CBAZAAR,Net Avenue Technologies Limited,SM,08-Dec-23,1,INE518X01015,1,
ROCKINGDCE.SM,ROCKINGDCE,Rockingdeals Circular Economy Limited,SM,30-Nov-23,10,INE0PTR01012,10,
SUNREST.SM,SUNREST,Sunrest Lifescience Limited,SM,20-Nov-23,10,INE0PLZ01012,10,
ROXHITECH.SM,ROXHITECH,Rox Hi Tech Limited,SM,16-Nov-23,10,INE0PDJ01013,10,
BABAFP.SM,BABAFP,Baba Food Processing (India) Limited,SM,15-Nov-23,10,INE0QW501012,10,
MICROPRO.SM,MICROPRO,Micropro Software Solutions Limited,SM,10-Nov-23,10,INE0PZK01014,10,
SARTELE.SM,SARTELE,Sar Televenture Limited,SM,08-Nov-23,2,INE0PUC01020,2,
MAITREYA.ST,MAITREYA,Maitreya Medicare Limited,ST,07-Nov-23,10,INE0PLQ01011,10,
TRANSTEEL.ST,TRANSTEEL,Transteel Seating Technologies Limited,ST,06-Nov-23,10,INE0NVI01020,10,
SHANTHALA.ST,SHANTHALA,Shanthala FMCG Products Limited,ST,03-Nov-23,10,INE0Q9Q01017,10,
PARAGON.ST,PARAGON,Paragon Fine and Speciality Chemical Limited,ST,03-Nov-23,10,INE0N4G01012,10,
ONDOOR.ST,ONDOOR,On Door Concepts Limited,ST,01-Nov-23,10,INE00ER01015,10,
RCDL.SM,RCDL,Rajgor Castor Derivatives Limited,SM,31-Oct-23,10,INE0BZQ01011,10,
WOMANCART.ST,WOMANCART,Womancart Limited,ST,27-Oct-23,10,INE0Q9601016,10,
ARVINDPORT.ST,ARVINDPORT,ARVIND PORT AND INFRA LIMITED,ST,25-Oct-23,10,INE0P4T01013,10,
COMMITTED.ST,COMMITTED,Committed Cargo Care Limited,ST,18-Oct-23,10,INE597Z01014,10,
PLADAINFO.SM,PLADAINFO,Plada Infotech Services Limited,SM,13-Oct-23,10,INE0PXD01014,10,
SCML.SM,SCML,Sharp Chucks and Machines Limited,SM,12-Oct-23,10,INE460Q01014,10,
KARNIKA.ST,KARNIKA,Karnika Industries Limited,ST,12-Oct-23,10,INE0MGA01012,10,
OLIL.SM,OLIL,Oneclick Logistics India Limited,SM,11-Oct-23,10,INE0OPS01011,10,
GOYALSALT.SM,GOYALSALT,Goyal Salt Limited,SM,11-Oct-23,10,INE0QFE01017,10,
CANARYS.SM,CANARYS,Canarys Automations Limited,SM,11-Oct-23,2,INE0QG301017,2,
VISHNUINFR.SM,VISHNUINFR,Vishnusurya Projects and Infra Limited,SM,10-Oct-23,10,INE0PQ001012,10,
KONTOR.SM,KONTOR,Kontor Space Limited,SM,10-Oct-23,10,INE0KZ301010,10,
EFACTOR.ST,EFACTOR,E Factor Experiences Limited,ST,09-Oct-23,10,INE0KFF01017,10,
ARABIAN.SM,ARABIAN,Arabian Petroleum Limited,SM,09-Oct-23,10,INE08NJ01024,10,
VINYAS.ST,VINYAS,Vinyas Innovative Technologies Limited,ST,06-Oct-23,10,INE0OLS01010,10,
NEWJAISA.SM,NEWJAISA,Newjaisa Technologies Limited,SM,05-Oct-23,5,INE0PW501021,5,
INSPIRE.SM,INSPIRE,Inspire Films Limited,SM,05-Oct-23,10,INE0NDX01019,10,
MAL.SM,MAL,Mangalam Alloys Limited,SM,04-Oct-23,10,INE00C401011,10,
DIGIKORE.ST,DIGIKORE,Digikore Studios Limited,ST,04-Oct-23,10,INE0QJ901011,10,
SAAKSHI.SM,SAAKSHI,Saakshi Medtech and Panels Limited,SM,03-Oct-23,10,INE0PSK01027,10,
MASTER.SM,MASTER,Master Components Limited,SM,29-Sep-23,10,INE0OJM01017,10,
MARCO.SM,MARCO,Marco Cables & Conductors Limited,SM,28-Sep-23,10,INE0QP001012,10,
HIGREEN.ST,HIGREEN,Hi-Green Carbon Limited,ST,28-Sep-23,10,INE0PIC01017,10,
CELLECOR.SM,CELLECOR,Cellecor Gadgets Limited,SM,28-Sep-23,1,INE0OMO01025,1,
KODYTECH.SM,KODYTECH,Kody Technolab Limited,SM,27-Sep-23,10,INE0Q7P01013,10,
MADHUSUDAN.SM,MADHUSUDAN,Madhusudan Masala Limited,SM,26-Sep-23,10,INE0P6701019,10,
KEL.SM,KEL,Kundan Edifice Limited,SM,26-Sep-23,10,INE0OWX01025,10,
HOLMARC.ST,HOLMARC,Holmarc Opto-Mechatronics Limited,ST,25-Sep-23,10,INE0LXA01019,10,
CHAVDA.SM,CHAVDA,Chavda Infra Limited,SM,25-Sep-23,10,INE0PT101017,10,
UNIHEALTH.SM,UNIHEALTH,Unihealth Hospitals Limited,SM,21-Sep-23,10,INE0PRF01011,10,
JIWANRAM.SM,JIWANRAM,Jiwanram Sheoduttrai Industries Limited,SM,18-Sep-23,10,INE0N5H01017,10,
SAROJA.SM,SAROJA,Saroja Pharma Industries India Limited,SM,13-Sep-23,10,INE0PCL01011,10,
PRAMARA.SM,PRAMARA,Pramara Promotions Limited,SM,13-Sep-23,10,INE0O7A01017,10,
BASILIC.ST,BASILIC,Basilic Fly Studio Limited,ST,11-Sep-23,10,INE0OCC01013,10,
MONOPHARMA.SM,MONOPHARMA,Mono Pharmacare Limited,SM,07-Sep-23,10,INE0OIP01012,10,
CPS.ST,CPS,C P S Shapers Limited,ST,07-Sep-23,10,INE0QBU01012,10,
SAHAJ.SM,SAHAJ,Sahaj Fashions Limited,SM,06-Sep-23,10,INE013901017,10,
SEL.ST,SEL,Sungarner Energies Limited,ST,31-Aug-23,10,INE0O3O01017,10,
CLSL.SM,CLSL,Crop Life Science Limited,SM,30-Aug-23,10,INE00NH01017,10,
SSFL.ST,SSFL,Srivari Spices And Foods Limited,ST,18-Aug-23,10,INE0ON201012,10,
YUDIZ.SM,YUDIZ,Yudiz Solutions Limited,SM,17-Aug-23,10,INE09FA01019,10,
SANGANI.ST,SANGANI,Sangani Hospitals Limited,ST,17-Aug-23,10,INE0OVI01010,10,
VINSYS.SM,VINSYS,Vinsys IT Services India Limited,SM,11-Aug-23,10,INE0OSJ01014,10,
ORIANA.SM,ORIANA,Oriana Power Limited,SM,11-Aug-23,10,INE0OUT01019,10,
ZEAL.SM,ZEAL,Zeal Global Services Limited,SM,09-Aug-23,10,INE0PPS01018,10,
SHRITECH.SM,SHRITECH,Shri Techtex Limited,SM,04-Aug-23,10,INE0OMF01015,10,
YCCL.SM,YCCL,Yasons Chemex Care Limited,SM,03-Aug-23,10,INE08S201019,10,
SERVICE.SM,SERVICE,Service Care Limited,SM,26-Jul-23,10,INE0P1Q01015,10,
DRONE.ST,DRONE,Drone Destination Limited,ST,21-Jul-23,10,INE0P7201019,10,
TRIDHYA.SM,TRIDHYA,Tridhya Tech Limited,SM,13-Jul-23,10,INE0LWY01029,10,
SYNOPTICS.SM,SYNOPTICS,Synoptics Technologies Limited,SM,13-Jul-23,10,INE0BTR01012,10,
GLOBALPET.SM,GLOBALPET,Global Pet Industries Limited,SM,10-Jul-23,10,INE0PS501019,10,
PENTAGON.SM,PENTAGON,Pentagon Rubber Limited,SM,07-Jul-23,10,INE0ORS01017,10,
MAGSON.SM,MAGSON,Magson Retail And Distribution Limited,SM,06-Jul-23,10,INE0O1S01012,10,
GREENCHEF.SM,GREENCHEF,Greenchef Appliances Limited,SM,06-Jul-23,10,INE0O7P01015,10,
ESFL.SM,ESFL,Essen Speciality Films Limited,SM,06-Jul-23,10,INE0ITO01014,10,
VILINBIO.SM,VILINBIO,Vilin Bio Med Limited,SM,30-Jun-23,10,INE0L4V01013,10,
AATMAJ.SM,AATMAJ,Aatmaj Healthcare Limited,SM,30-Jun-23,5,INE0OB201016,5,
CELLPOINT.SM,CELLPOINT,Cell Point (India) Limited,SM,28-Jun-23,10,INE0O0001013,10,
URBAN.ST,URBAN,Urban Enviro Waste Management Limited,ST,22-Jun-23,10,INE0O0201019,10,
SPECTSTM.ST,SPECTSTM,Spectrum Talent Management Limited,ST,22-Jun-23,10,INE0OL001018,10,
KDL.ST,KDL,Kore Digital Limited,ST,14-Jun-23,10,INE0O4R01018,10,
SAHANA.ST,SAHANA,Sahana System Limited,ST,12-Jun-23,10,INE0LEX01011,10,
INFOLLION.ST,INFOLLION,Infollion Research Services Limited,ST,08-Jun-23,10,INE0NNZ01013,10,
PROV.SM,PROV,Proventus Agrocom Limited,SM,05-Jun-23,10,INE0ONE01016,10,
DENTALKART.SM,DENTALKART,Vasa Denticity Limited,SM,02-Jun-23,10,INE0N5801013,10,
CRAYONS.SM,CRAYONS,Crayons Advertising Limited,SM,02-Jun-23,10,INE0OFK01019,10,
REMUS.SM,REMUS,Remus Pharmaceuticals Limited,SM,29-May-23,10,INE0O5T01011,10,
KRISHCA.SM,KRISHCA,Krishca Strapping Solutions Limited,SM,26-May-23,10,INE0NR701018,10,
AUROIMPEX.SM,AUROIMPEX,Auro Impex  & Chemicals Limited,SM,23-May-23,10,INE0NUL01018,10,
DENEERS.ST,DENEERS,De Neers Tools Limited,ST,11-May-23,10,INE0JWV01011,10,
QUICKTOUCH.ST,QUICKTOUCH,Quicktouch Technologies Limited,ST,02-May-23,10,INE0K4D01020,10,
AGUL.SM,AGUL,A G Universal Limited,SM,24-Apr-23,10,INE0O6N01012,10,
PATTECH.SM,PATTECH,Pattech Fitwell Tube Components Limited,SM,21-Apr-23,10,INE0NZW01014,10,
MOS.ST,MOS,Mos Utility Limited,ST,18-Apr-23,10,INE0N7S01010,10,
INFINIUM.SM,INFINIUM,Infinium Pharmachem Limited,SM,17-Apr-23,10,INE0MRE01011,10,
SOTAC.SM,SOTAC,Sotac Pharmaceuticals Limited,SM,13-Apr-23,10,INE0O2D01012,10,
NIRMAN.SM,NIRMAN,Nirman Agri Genetics Limited,SM,28-Mar-23,10,INE0OK701014,10,
QFIL.SM,QFIL,Quality Foils (India) Limited,SM,24-Mar-23,10,INE0O1M01015,10,
VELS.SM,VELS,Vels Film International Limited,SM,22-Mar-23,10,INE0I3H01019,10,
MCON.ST,MCON,Mcon Rasayan India Limited,ST,20-Mar-23,10,INE0O4M01019,10,
VERTEXPLUS.SM,VERTEXPLUS,Vertexplus Technologies Limited,SM,15-Mar-23,10,INE0NLB01018,10,
SYSTANGO.SM,SYSTANGO,Systango Technologies Limited,SM,15-Mar-23,10,INE0O7R01011,10,
SRIVASAVI.SM,SRIVASAVI,Srivasavi Adhesive Tapes Limited,SM,09-Mar-23,10,INE0NPI01014,10,
VIAZ.SM,VIAZ,Viaz Tyres Limited,SM,01-Mar-23,10,INE0MO401019,10,
AGARWALFT.SM,AGARWALFT,Agarwal Float Glass India Limited,SM,23-Feb-23,10,INE0MLA01012,10,
LRRPL.ST,LRRPL,Lead Reclaim And Rubber Products Limited,ST,21-Feb-23,10,INE0H4B01011,10,
SHERA.SM,SHERA,Shera Energy Limited,SM,17-Feb-23,10,INE0MM001019,10,
GRCL.SM,GRCL,Gayatri Rubbers And Chemicals Limited,SM,07-Feb-23,10,INE0LVM01018,10,
ARISTO.ST,ARISTO,Aristo Bio-Tech And Lifescience Limited,ST,30-Jan-23,10,INE082101010,10,
DUCOL.SM,DUCOL,Ducol Organics And Colours Limited,SM,19-Jan-23,10,INE0LZO01015,10,
CMNL.ST,CMNL,Chaman Metallics Limited,ST,16-Jan-23,10,INE06PV01010,10,
ANLON.SM,ANLON,Anlon Technology Solutions Limited,SM,10-Jan-23,10,INE0LR101013,10,
RBMINFRA.SM,RBMINFRA,Rbm Infracon Limited,SM,04-Jan-23,10,INE0NA301016,10,
HOMESFY.SM,HOMESFY,Homesfy Realty Limited,SM,02-Jan-23,10,INE0N7F01017,10,
MOXSH.SM,MOXSH,Moxsh Overseas Educon Limited,SM,30-Dec-22,10,INE0N6D01014,10,
UMA.SM,UMA,Uma Converter Limited,SM,29-Dec-22,10,INE067901012,10,
ARIHANTACA.ST,ARIHANTACA,Arihant Academy Limited,ST,29-Dec-22,10,INE0NCC01015,10,
DOLLEX.SM,DOLLEX,Dollex Agrotech Limited,SM,28-Dec-22,10,INE0JHH01011,10,
ALLETEC.ST,ALLETEC,All E Technologies Limited,ST,21-Dec-22,10,INE0M2X01012,10,
ARHAM.SM,ARHAM,Arham Technologies Limited,SM,15-Dec-22,10,INE0L2Y01011,10,
PRITIKA.ST,PRITIKA,Pritika Engineering Components Limited,ST,08-Dec-22,10,INE0MJQ01012,10,
BAHETI.ST,BAHETI,Baheti Recycling Industries Limited,ST,08-Dec-22,10,INE029Q01017,10,
AMIABLE.SM,AMIABLE,Amiable Logistics (India) Limited,SM,16-Nov-22,10,INE0MTP01013,10,
VITAL.SM,VITAL,Vital Chemtech Limited,SM,14-Nov-22,10,INE0L4K01016,10,
RITEZONE.SM,RITEZONE,Rite Zone Chemcon India Limited,SM,11-Nov-22,10,INE0MRA01019,10,
IPSL.ST,IPSL,Integrated Personnel Services Limited,ST,11-Nov-22,10,INE02EE01019,10,
PHANTOMFX.ST,PHANTOMFX,Phantom Digital Effects Limited,ST,21-Oct-22,10,INE0MLZ01019,10,
FROG.SM,FROG,Frog Cellsat Limited,SM,13-Oct-22,10,INE385O01018,10,
SWASTIK.SM,SWASTIK,Swastik Pipe Limited,SM,12-Oct-22,10,INE0DGC01025,10,
QMSMEDI.SM,QMSMEDI,QMS Medical Allied Services Limited,SM,11-Oct-22,10,INE0FMW01018,10,
LLOYDS.SM,LLOYDS,Lloyds Luxuries Limited,SM,11-Oct-22,10,INE0DTQ01028,10,
CMRSL.SM,CMRSL,Cyber Media Research & Services Limited,SM,10-Oct-22,10,INE075Z01011,10,
MAKS.SM,MAKS,Maks Energy Solutions India Limited,SM,28-Sep-22,10,INE0CDK01019,10,
KANDARP.ST,KANDARP,Kandarp Digi Smart BPO Limited,ST,28-Sep-22,10,INE0MOT01016,10,
CLOUD.SZ,CLOUD,Varanium Cloud Limited,SZ,27-Sep-22,5,INE0JOO01021,5,
ANNAPURNA.SM,ANNAPURNA,Annapurna Swadisht Limited,SM,27-Sep-22,10,INE0MGM01017,10,
TAPIFRUIT.SM,TAPIFRUIT,Tapi Fruit Processing Limited,SM,22-Sep-22,10,INE0M7001010,10,
ISHAN.SM,ISHAN,Ishan International Limited,SM,22-Sep-22,1,INE0LCW01025,1,
SABAR.ST,SABAR,Sabar Flex India Limited,ST,21-Sep-22,10,INE0DZ101013,10,
MEGAFLEX.SM,MEGAFLEX,Mega Flex Plastics Limited,SM,19-Sep-22,10,INE0G1D01014,10,
VIVIANA.ST,VIVIANA,Viviana Power Tech Limited,ST,16-Sep-22,10,INE0MEG01014,10,
KORE.ST,KORE,Jay Jalaram Technologies Limited,ST,08-Sep-22,10,INE0J6801010,10,
JFLLIFE.ST,JFLLIFE,Jfl Life Sciences Limited,ST,08-Sep-22,10,INE0LA901015,10,
AMEYA.ST,AMEYA,Ameya Precision Engineers Limited,ST,08-Sep-22,10,INE0KT901015,10,
VEEKAYEM.ST,VEEKAYEM,Veekayem Fashion and Apparels Limited,ST,22-Aug-22,10,INE0KTW01013,10,
USASEEDS.SM,USASEEDS,Upsurge Seeds Of Agriculture Limited,SM,11-Aug-22,10,INE0CBM01019,10,
AGNI.SM,AGNI,Agni Green Power Limited,SM,01-Aug-22,10,INE0LF301013,10,
SKP.SM,SKP,SKP Bearing Industries Limited,SM,13-Jul-22,10,INE0KZA01016,10,
MWL.SM,MWL,Mangalam Worldwide Limited,SM,11-Jul-22,10,INE0JYY01011,10,
KCK.ST,KCK,Kck Industries Limited,ST,08-Jul-22,2,INE0J1E01027,2,
RILINFRA.SM,RILINFRA,Rachana Infrastructure Limited,SM,10-Jun-22,10,INE02OY01016,10,
FIDEL.ST,FIDEL,Fidel Softech Limited,ST,10-Jun-22,10,INE0LQQ01019,10,
GSTL.ST,GSTL,Globesecure Technologies Limited,ST,02-Jun-22,10,INE00WS01056,10,
SONUINFRA.ST,SONUINFRA,Sonu Infratech Limited,ST,13-May-22,10,INE0JZA01018,10,
LEMERITE.ST,LEMERITE,Le Merite Exports Limited,ST,09-May-22,10,INE0G1L01017,10,
JSLL.SM,JSLL,Jeena Sikho Lifecare Limited,SM,19-Apr-22,10,INE0J5801011,10,
KRISHNADEF.SM,KRISHNADEF,Krishna Defence and Allied Industries Limited,SM,06-Apr-22,10,INE0J5601015,10,
PROPEQUITY.SM,PROPEQUITY,P. E. Analytics Limited,SM,04-Apr-22,10,INE0KN801013,10,
KRISHIVAL.SM,KRISHIVAL,Krishival Foods Limited,SM,31-Mar-22,10,INE0GGO01015,10,
SWARAJ.ST,SWARAJ,Swaraj Suiting Limited,ST,28-Mar-22,10,INE0GMR01016,10,
KNAGRI.ST,KNAGRI,KN Agri Resources Limited,ST,28-Mar-22,10,INE0KNW01016,10,
COOLCAPS.ST,COOLCAPS,Cool Caps Industries Limited,ST,24-Mar-22,10,INE0HS001010,10,
SPRL.ST,SPRL,Sp Refractories Limited,ST,22-Mar-22,10,INE0JW501011,10,
SHIGAN.SM,SHIGAN,Shigan Quantum Technologies Limited,SM,11-Mar-22,10,INE03KJ01013,10,
MADHAVBAUG.SM,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,SM,23-Feb-22,10,INE0JR301013,10,
RICHA.SM,RICHA,Richa Info Systems Limited,SM,21-Feb-22,10,INE0J1P01015,10,
PRECISION.ST,PRECISION,Precision Metaliks Limited,ST,01-Feb-22,10,INE0HKW01018,10,
TIMESCAN.SM,TIMESCAN,Timescan Logistics (India) Limited,SM,12-Jan-22,10,INE0IJY01014,10,
ABCOTS.ST,ABCOTS,A B Cotspin India Limited,ST,11-Jan-22,10,INE08PH01015,10,
VIVO.SM,VIVO,Vivo Collaboration Solutions Limited,SM,31-Dec-21,10,INE0IA701014,10,
