tv-symbol;isin;description
589686;DE0005896864;Deka-Stiftungen Balance CF
973242;LU0052859252;DekaLuxTeam-Aktien Asien CF
933745;LU0109012277;DekaStruktur: 2 ChancePlus
554004;LU0124427930;DekaStruktur: 3 Chance Plus
A0BLVU;LU0185901153;DekaStruktur: 4 ChancePlus
979772;DE0009797720;Deutsche Postbank Europafonds Aktien
A0M00E;LU0090784017;Digital Stars Europe Acc
A111ZF;DE000A111ZF1;Dirk Müller Premium Aktien R
A1J8MD;LU0858224032;DJE Concept PA
164326;LU0159551042;DJE Dividende & Substanz I €
164325;LU0159550150;DJE Dividende & Substanz P €
A14SK0;LU1227570055;DJE Mittelstand & Innovation PA €
A1C7Y8;LU0553164731;DJE Zins & Dividende PA €
541954;LU0117118041;DKB Nachhaltigkeitsfonds SDG
986071;LU0067059799;DNB Asian Mid Cap A
A0MWAN;LU0302296495;DNB Technology A €
847402;DE0008474024;DWS Akkumula LC
976986;DE0009769869;DWS Aktien Strategie Deutschland LC €
847414;DE0008474149;DWS Artificial Intelligence ND
847130;DE0008471301;DWS Balance Portfolio E
976997;DE0009769976;DWS Biotech
988726;LU0093745825;DWS CONCEPT ARTS CONSERVATIVE
977700;DE0009777003;DWS Concept DJE Globale Aktien
848665;DE0008486655;DWS Concept GS&P Food LD
DWSK00;LU0599946893;DWS Concept Kaldemorgen LC
849096;DE0008490962;DWS Deutschland LC
847426;DE0008474263;DWS ESG Convertibles LD
A0F426;LU0225880524;DWS ESG Euro Money Market Fund
847400;DE0008474008;DWS ESG INVESTA LD
531840;DE0005318406;DWS ESG Stiftungsfonds LD
976976;DE0009769760;DWS ESG Top Asien LC
847651;DE0008476516;DWS Euro Bond LD
847415;DE0008474156;DWS European Opportunities LD
971050;LU0003549028;DWS EURORENTA
847428;DE0008474289;DWS German Equities Typ O
515240;DE0005152409;DWS GERMAN SMALL/MID CAP
977301;DE0009773010;DWS Global Emerging Markets Eq ND
