cik,symbol
63296,NASDAQ:MATW
63330,NYSE:MLP
63754,NYSE:MKC
63908,NYSE:MCD
64040,NYSE:SPGI
64463,NASDAQ:SLNH
64803,NYSE:CVS
64996,NYSE:MCY
65172,NYSE:MSB
65270,NYSE:MEI
65433,NYSE:MXF
65596,NASDAQ:SIEB
65759,OTC:MPAD
65770,NASDAQ:MVIS
65984,NYSE:ETR
66004,NASDAQ:MSEX
66382,NASDAQ:MLKN
66496,OTC:MMTRS
66570,NYSE:MSA
66600,OTC:MMMM
66740,NYSE:MMM
66756,NYSE:ALE
66901,NYSE:EMP
67088,TSE:8306
67215,NYSE:DY
67347,NYSE:MOD
67716,NYSE:MDU
68505,NYSE:MSI
68622,NYSE:CTBB
69422,NASDAQ:INTG
69488,NYSE:MYE
69633,NASDAQ:NSSC
69733,NASDAQ:NATH
69891,NASDAQ:FIZZ
70145,NYSE:NFG
70318,NYSE:THC
70487,NASDAQ:NRC
70502,NYSE:NRUC
70858,NYSE:BAC
70866,NYSE:VYX
71508,NYSE:ENJ
71557,OTC:NUVR
71691,NYSE:NYT
71829,NYSE:NR
72162,NYSE:NL
72205,OTC:NOBH
72331,NASDAQ:NDSN
72333,NYSE:JWN
72444,NASDAQ:VXRT
72573,NYSE:MOV
72633,NYSE:NRT
72741,NYSE:ES
72903,NASDAQ:XEL
72971,NYSE:WFC
73124,NASDAQ:NTRS
73290,NASDAQ:BMRA
73309,NYSE:NUE
73756,NYSE:OII
74046,NYSE:ODC
74208,NYSE:UDR
74260,NYSE:ORI
74303,NYSE:OLN
75252,NYSE:OMI
75288,NYSE:OXM
75362,NASDAQ:PCAR
75398,NYSE:PAI
75594,OTC:PPWLO
75677,NYSE:PKG
76267,NYSE:PKE
76282,NASDAQ:PKOH
76334,NYSE:PH
76605,NASDAQ:PATK
77360,NYSE:PNR
77476,NASDAQ:PEP
77543,NYSE:TPC
78003,NYSE:PFE
78128,NYSE:WTRG
78150,PSE:DTEL
78239,NYSE:PVH
78749,NASDAQ:AGYS
78814,NYSE:PBI
78890,NYSE:BCO
79282,NYSE:BRO
79661,OTC:PRSI
79879,NYSE:PPG
80035,NASDAQ:PLPC
80172,NYSE:NPK
80420,NASDAQ:POWL
80424,NYSE:PG
80661,NYSE:PGR
81023,OTC:PNMXO
81362,NYSE:KWR
81955,NASDAQ:RAND
82020,NASDAQ:USLM
82811,NYSE:RRX
83350,OTC:RSRV
84112,OTC:RSKIA
84129,OTC:RADCQ
84246,NYSE:RLI
84748,NYSE:ROG
84839,NYSE:ROL
85535,NASDAQ:RGLD
85961,NYSE:R
86115,OTC:SFES
86312,NYSE:TRV
87050,NASDAQ:NEON
87347,NYSE:SLB
87802,OTC:SCND
88000,OTC:SLGDD
88205,NYSE:SPXC
88941,NASDAQ:SMTC
88948,NASDAQ:SENEA
89089,NYSE:SCI
89439,NYSE:MLI
89800,NYSE:SHW
90498,NASDAQ:SFNC
90896,NYSE:SKY
91142,NYSE:AOS
91419,NYSE:SJM
91440,NYSE:SNA
91576,NYSE:KEY
91668,OTC:SODI
91767,NYSE:SON
91847,NYSE:SOR
92108,OTC:SOCGP
92122,NYSE:SO
92230,NYSE:TFC
92380,NYSE:LUV
93389,NYSE:SMP
93410,NYSE:CVX
93556,NYSE:SWK
93751,NYSE:STT
94049,NYSE:SCL
94344,NYSE:STC
94845,NYSE:LEVI
95029,NYSE:RGR
95552,NYSE:SUP
95574,NASDAQ:SGC
95953,NASDAQ:ACNT
96021,NYSE:SYY
96223,NYSE:JEF
96536,NASDAQ:TAYD
96699,OTC:TCCO
96869,NYSE:TRC
96885,OTC:TIKK
96943,NYSE:TFX
97134,NYSE:TNC
97210,NASDAQ:TER
97216,NYSE:TEX
97476,NASDAQ:TXN
97745,NYSE:TMO
98222,NYSE:TDW
98362,NYSE:TKR
98677,NYSE:TR
99106,OTC:TNLX
99302,NASDAQ:TRNS
99614,NYSE:TY
99780,NYSE:TRN
100378,NASDAQ:TWIN
100493,NYSE:TSN
100517,NASDAQ:UAL
100591,NYSE:AGX
100716,OTC:UNAM
100726,NYSE:UFI
100826,OTC:UELMO
100885,NYSE:UNP
101199,NASDAQ:UFCS
101295,NASDAQ:UG
101382,NASDAQ:UMBF
101594,NASDAQ:USEG
101778,NYSE:MRO
101829,NYSE:RTX
101984,NASDAQ:UEIC
102037,NYSE:UVV
102212,NASDAQ:UVSP
102426,NYSE:STEW
102729,NYSE:VMI
102752,NASDAQ:VSEC
103145,NASDAQ:VECO
103379,NYSE:VFC
103595,NASDAQ:VLGEA
103730,NYSE:VSH
104169,NYSE:WMT
104889,NYSE:GHC
104894,NYSE:ELME
104918,NYSE:AVA
105016,NYSE:WSO
105132,NASDAQ:WDFC
105319,NASDAQ:WW
105418,NYSE:WMK
105634,NYSE:EME
105770,NYSE:WST
106040,NASDAQ:WDC
106532,NASDAQ:WEYS
106535,NYSE:WY
106640,NYSE:WHR
107140,NYSE:WLY
107263,NYSE:WMB
107687,NYSE:WGO
107815,OTC:WELPP
108312,NASDAQ:WWD
108385,NASDAQ:WRLD
108516,NYSE:WOR
108985,NASDAQ:YORW
109177,NYSE:SPB
109198,NYSE:TJX
109380,NASDAQ:ZION
109563,NYSE:AIT
109657,NASDAQ:GTBP
110095,TSE:1332
110471,NYSE:WWW
110621,NYSE:RPM
200406,NYSE:JNJ
202058,NYSE:LHX
202947,OTC:CPTP
203596,NASDAQ:WSBC
215466,NYSE:CDE
216085,NYSE:HVT
216228,NYSE:ITT
216851,NYSE:PEO
217346,NYSE:TXT
217410,LSE:ULVR
230557,NASDAQ:SIGI
275053,NASDAQ:NATR
275694,NYSE:MCI
275880,NYSE:PSN
276720,NASDAQ:PCYO
277135,NYSE:GWW
277509,NYSE:FSS
277948,NASDAQ:CSX
278165,OTC:OMQS
278166,NASDAQ:CVCO
310142,NYSE:SXT
310158,NYSE:MRK
310354,NYSE:SXI
310522,OTC:FNMA
310732,EURONEXT:BNP
310764,NYSE:SYK
311094,NASDAQ:WABC
311337,TSX:SU
312069,LSE:BARC
312070,OTC:JJCTF
312257,OTC:IVFH
313143,NYSE:HAE
313216,EURONEXT:PHIA
313364,NYSE:MTR
313616,NYSE:DHR
313807,LSE:BP.
313838,TSE:6758
313927,NYSE:CHD
314203,NYSE:MUX
314227,NASDAQ:TOMZ
314489,NASDAQ:BUSE
314590,JSE:SOL
314808,NYSE:VAL
315131,NYSE:PHX
315189,NYSE:DE
315213,NYSE:RHI
315293,NYSE:AON
315374,NASDAQ:HURC
315545,OTC:PVCT
315709,NASDAQ:IBOC
315852,NYSE:RRC
315958,OTC:CRMZ
316253,NYSE:ENZ
316709,NYSE:SCHW
317540,NASDAQ:COKE
317788,NASDAQ:APPS
318154,NASDAQ:AMGN
318299,OTC:SRCO
318300,NASDAQ:PEBO
318306,NASDAQ:ABEO
318673,NASDAQ:SNFCA
318833,NYSE:TISI
319016,OTC:FZMD
319201,NASDAQ:KLAC
319654,NYSE:PBT
319655,NYSE:SJT
320017,NASDAQ:LSTA
320121,NASDAQ:TLS
320187,NYSE:NKE
320193,NASDAQ:AAPL
320335,NYSE:GL
320340,NYSE:CCRD
350698,NYSE:AN
350852,NASDAQ:CTBI
350868,NASDAQ:ITI
350894,NASDAQ:SEIC
351569,NYSE:ABCB
351789,NASDAQ:ELSE
351834,TSX:SOY
351998,NASDAQ:DAIO
352541,NASDAQ:LNT
352825,NASDAQ:FSTR
352915,NYSE:UHS
352991,OTC:AOXY
353184,NASDAQ:AIRT
353278,OMXCOP:NOVO_B
354190,NYSE:AJG
354518,TSE:6361
354647,NASDAQ:CVBF
354707,NYSE:HE
354950,NYSE:HD
354963,NASDAQ:SHEN
355019,NASDAQ:FONR
355811,NASDAQ:GNTX
355948,NASDAQ:RELL
356037,NASDAQ:CSPI
356171,NASDAQ:TCBK
356309,NYSE:NJR
356590,OTC:GTII
357173,NASDAQ:OSBC
357294,NYSE:HOV
357301,NASDAQ:TRST
700564,NASDAQ:FULT
700565,NASDAQ:FMBH
700764,OTC:VYEY
700841,NASDAQ:RCMT
700923,NASDAQ:MYRG
701347,NYSE:CPF
701818,TSX:K
701985,NYSE:BBWI
702165,NYSE:NSC
703351,NYSE:EAT
703604,NASDAQ:DSGR
704172,OTC:PHIL
704440,NASDAQ:KRMD
704532,NYSE:ONTO
704562,NASDAQ:CDMO
705432,NASDAQ:SBSI
706129,NASDAQ:HBNC
706698,NASDAQ:UTMD
706863,NASDAQ:UNB
707179,NASDAQ:ONB
707388,NASDAQ:STRR
707511,OTC:RGRX
707549,NASDAQ:LRCX
707605,NASDAQ:ASRV
708781,NASDAQ:CASS
708821,NYSE:PAR
708955,NASDAQ:FFBC
709005,OTC:NROM
709283,NASDAQ:QMCO
709337,NASDAQ:FMNB
710752,NYSE:SBR
711034,OTC:THMG
711377,NASDAQ:NEOG
711404,NASDAQ:COO
711669,NASDAQ:CBAN
712034,NYSE:ACCO
712515,NASDAQ:EA
712534,NASDAQ:FRME
712537,NYSE:FCF
712770,NYSE:OLP
712771,NASDAQ:CNOB
713425,NASDAQ:AMSWA
713676,NYSE:PNC
714256,NASDAQ:SMTI
714310,NASDAQ:VLY
714395,NASDAQ:GABC
714562,NASDAQ:THFF
714712,OTC:JUVF
715072,NYSE:RNST
715153,TSE:7267
715446,NASDAQ:ANIX
715579,NASDAQ:ACNB
715787,NASDAQ:TILE
715957,NYSE:D
716006,OTC:YELLQ
716314,NYSE:GHM
716605,NASDAQ:PWOD
716634,NASDAQ:RDI
716643,NASDAQ:RGS
717423,NYSE:MUR
717538,NASDAQ:AROW
717605,NYSE:HXL
717720,NASDAQ:VALU
717806,NASDAQ:FUSB
717826,OMXSTO:ERIC_A
717954,NYSE:UNF
718332,NASDAQ:RAVE
718413,OTC:CMTV
718937,NASDAQ:STAA
718940,TSX:BCE
719135,NASDAQ:APYX
719220,NASDAQ:STBA
719245,ASX:WBC
719274,OTC:GIGA
719402,NASDAQ:FXNC
719413,NYSE:HL
719733,NASDAQ:KTCC
719739,OTC:SIVBQ
719955,NYSE:WSM
720005,NYSE:RJF
720154,NASDAQ:NOTV
720500,NASDAQ:ASYS
720672,NYSE:SF
720762,OTC:NIMU
720858,NASDAQ:ITIC
720875,OTC:DYNT
721371,NYSE:CAH
721693,NASDAQ:CREG
721994,NASDAQ:LKFN
722313,NASDAQ:NSYS
722572,NASDAQ:FKWL
723125,NASDAQ:MU
723188,NYSE:CBU
723254,NASDAQ:CTAS
723531,NASDAQ:PAYX
723533,OTC:LWLW
723603,NYSE:CULP
723612,NASDAQ:CAR
723646,NASDAQ:FRAF
723733,OTC:MUSS
724004,NASDAQ:MLAB
724445,OTC:BZYR
724742,OTC:TPHS
724910,NASDAQ:NVEC
725394,OTC:DFCO
725929,OTC:BTDG
726601,NASDAQ:CCBG
726728,NYSE:O
726854,NASDAQ:CHCO
726958,NASDAQ:CASY
727207,NASDAQ:AXDX
727273,NASDAQ:CDZI
727346,OTC:GBCS
727510,OTC:ENZN
727634,OTC:ISGN
728385,OTC:MEEC
728535,NASDAQ:JBHT
729580,NASDAQ:BELFA
729986,NASDAQ:UBSI
730263,NYSE:THO
730272,NASDAQ:RGEN
730349,OTC:TOFB
730464,NYSE:ATGE
730669,OTC:FCIC
730708,NASDAQ:SBCF
731012,NASDAQ:HCSG
731122,OTC:CCFN
731245,OTC:PDNLA
731653,NASDAQ:UBCP
731766,NYSE:UNH
731802,NYSE:ATO
732417,OTC:HBIA
732712,NYSE:VZ
732717,NYSE:T
733099,TSX:RCI.A
733269,NYSE:RAMP
733337,OTC:PWCO
733590,NYSE:TCI
736012,NASDAQ:INTZ
736772,NASDAQ:CCNE
737207,OTC:ATRX
737468,NASDAQ:WASH
737758,NYSE:TTC
737875,OTC:FKYS
738214,NASDAQ:AMTX
739421,NASDAQ:CZFS
740260,NYSE:VTR
740663,NASDAQ:FLIC
740664,NASDAQ:RFIL
740806,OTC:FMBM
740971,NASDAQ:OPOF
742278,NYSE:RES
743238,NASDAQ:SHYF
743758,OTC:AIAD
744187,NYSE:REX
744218,NASDAQ:CLDX
744452,NASDAQ:APDN
745308,NYSE:JOE
745543,OTC:PBAJ
745732,NASDAQ:ROST
746210,NASDAQ:OBLG
746515,NYSE:EXPD
746598,NYSE:BRC
746838,NYSE:UIS
747540,OTC:SPRS
748268,NASDAQ:RCAT
748592,NASDAQ:ERNA
748691,NYSE:KF
748790,OTC:GCEH
748954,OMXSTO:ATCO_A
749098,TSX:MG
749251,NYSE:IT
749647,NASDAQ:IMNN
749660,NASDAQ:ICAD
750004,NASDAQ:LNW
750558,OTC:QNBC
750574,NASDAQ:AUBN
750577,NASDAQ:HWC
