"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",37206597
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",30615568
"AGE","ALLIGATOR ENERGY LIMITED","Energy","09/04/2025",100713583
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",10958570
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",255963386
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",6949478917
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",89024527
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",68660761
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",26206577
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",92835520
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",33449482
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015","SUSPENDED"
"AHK","ARK MINES LIMITED","Materials","09/05/2011",7762498
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",46749290
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",8012806
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",69898159
"AI1","ADISYN LTD","Software & Services","10/11/2020",31060001
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",12069979886
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",601493104
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",148257973
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",46701332
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",164610235
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",1939523
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",1805632698
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",6878648
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",12691429
