"currency-id","typespecs"
"XTVCBIRD","${symbolinfo.typespecs},defi"
"XTVCBLANK","${symbolinfo.typespecs},defi"
"XTVCBLOCK","${symbolinfo.typespecs},defi"
"XTVCBLOK","${symbolinfo.typespecs},defi"
"XTVCBLP","${symbolinfo.typespecs},defi"
"XTVCBLUE","${symbolinfo.typespecs},defi"
"XTVCBLZ","${symbolinfo.typespecs},defi"
"XTVCBMI","${symbolinfo.typespecs},defi"
"XTVCBNBUSD","${symbolinfo.typespecs},defi"
"XTVCBNBX","${symbolinfo.typespecs},defi"
"XTVCBNSD","${symbolinfo.typespecs},defi"
"XTVCBNSOL","${symbolinfo.typespecs},defi"
"XTVCBNT","${symbolinfo.typespecs},defi"
"XTVCBNUSD","${symbolinfo.typespecs},defi"
"XTVCBOND","${symbolinfo.typespecs},defi"
"XTVCBONDLY","${symbolinfo.typespecs},defi"
"XTVCBORG","${symbolinfo.typespecs},defi"
"XTVCBOT","${symbolinfo.typespecs},defi"
"XTVCBPLC","${symbolinfo.typespecs},defi"
"XTVCBR","${symbolinfo.typespecs},defi"
"XTVCBRG","${symbolinfo.typespecs},defi"
"XTVCBROCK","${symbolinfo.typespecs},defi"
"XTVCBRY","${symbolinfo.typespecs},defi"
"XTVCBSOL","${symbolinfo.typespecs},defi"
"XTVCBSW","${symbolinfo.typespecs},defi"
"XTVCBTC.B","${symbolinfo.typespecs},defi"
"XTVCBTCB","${symbolinfo.typespecs},defi"
"XTVCBTCK","${symbolinfo.typespecs},defi"
"XTVCBTCMT","${symbolinfo.typespecs},defi"
"XTVCBTF","${symbolinfo.typespecs},defi"
"XTVCBTM","${symbolinfo.typespecs},defi"
"XTVCBTS","${symbolinfo.typespecs},defi"
"XTVCBTT","${symbolinfo.typespecs},defi"
"XTVCBUMP","${symbolinfo.typespecs},defi"
"XTVCBUNI","${symbolinfo.typespecs},defi"
"XTVCBUNNY","${symbolinfo.typespecs},defi"
"XTVCBURGER","${symbolinfo.typespecs},defi"
"XTVCBUSY","${symbolinfo.typespecs},defi"
"XTVCBUY","${symbolinfo.typespecs},defi"
"XTVCBVM","${symbolinfo.typespecs},defi"
"XTVCBYN","${symbolinfo.typespecs},defi"
"XTVCCAKE","${symbolinfo.typespecs},defi"
"XTVCCAM","${symbolinfo.typespecs},defi"
"XTVCCANDY","${symbolinfo.typespecs},defi"
"XTVCCANTO","${symbolinfo.typespecs},defi"
"XTVCCARMIN","${symbolinfo.typespecs},defi"
"XTVCCAT","${symbolinfo.typespecs},defi"
"XTVCCATE","${symbolinfo.typespecs},defi"
"XTVCCAU","${symbolinfo.typespecs},defi"
"XTVCCBADA","${symbolinfo.typespecs},defi"
"XTVCCBBTC","${symbolinfo.typespecs},defi"
"XTVCCBDOGE","${symbolinfo.typespecs},defi"
"XTVCCBETH","${symbolinfo.typespecs},defi"
"XTVCCBLTC","${symbolinfo.typespecs},defi"
"XTVCCBXRP","${symbolinfo.typespecs},defi"
"XTVCCCD","${symbolinfo.typespecs},defi"
"XTVCCDCETH","${symbolinfo.typespecs},defi"
"XTVCCDL","${symbolinfo.typespecs},defi"
"XTVCCDT","${symbolinfo.typespecs},defi"
"XTVCCEL","${symbolinfo.typespecs},defi"
"XTVCCELL","${symbolinfo.typespecs},defi"
"XTVCCELL","${symbolinfo.typespecs},defi"
"XTVCCELR","${symbolinfo.typespecs},defi"
"XTVCCERE","${symbolinfo.typespecs},defi"
"XTVCCETUS","${symbolinfo.typespecs},defi"
"XTVCCFI","${symbolinfo.typespecs},defi"
"XTVCCFX","${symbolinfo.typespecs},defi"
"XTVCCGG","${symbolinfo.typespecs},defi"
"XTVCCGPT","${symbolinfo.typespecs},defi"
"XTVCCGV","${symbolinfo.typespecs},defi"
"XTVCCHAIN","${symbolinfo.typespecs},defi"
"XTVCCHAMP","${symbolinfo.typespecs},defi"
"XTVCCHER","${symbolinfo.typespecs},defi"
"XTVCCHESS","${symbolinfo.typespecs},defi"
"XTVCCHEX","${symbolinfo.typespecs},defi"
"XTVCCHO","${symbolinfo.typespecs},defi"
"XTVCCIRX","${symbolinfo.typespecs},defi"
"XTVCCKBTC","${symbolinfo.typespecs},defi"
"XTVCCKETH","${symbolinfo.typespecs},defi"
"XTVCCLORE","${symbolinfo.typespecs},defi"
"XTVCCMETH","${symbolinfo.typespecs},defi"
"XTVCCMX","${symbolinfo.typespecs},defi"
"XTVCCNS","${symbolinfo.typespecs},defi"
"XTVCCNX","${symbolinfo.typespecs},defi"
"XTVCCOGI","${symbolinfo.typespecs},defi"
"XTVCCOINX","${symbolinfo.typespecs},defi"
"XTVCCOMBO","${symbolinfo.typespecs},defi"
"XTVCCOMP","${symbolinfo.typespecs},defi"
"XTVCCOOK","${symbolinfo.typespecs},defi"
"XTVCCOOK","${symbolinfo.typespecs},defi"
"XTVCCORE","${symbolinfo.typespecs},defi"
"XTVCCOREUM","${symbolinfo.typespecs},defi"
"XTVCCOTI","${symbolinfo.typespecs},defi"
"XTVCCOVAL","${symbolinfo.typespecs},defi"
"XTVCCOW","${symbolinfo.typespecs},defi"
"XTVCCPOOL","${symbolinfo.typespecs},defi"
"XTVCCQT","${symbolinfo.typespecs},defi"
"XTVCCRCLX","${symbolinfo.typespecs},defi"
"XTVCCREAM","${symbolinfo.typespecs},defi"
"XTVCCRP","${symbolinfo.typespecs},defi"
"XTVCCRPT","${symbolinfo.typespecs},defi"
"XTVCCRV","${symbolinfo.typespecs},defi"
"XTVCCRVUSD","${symbolinfo.typespecs},defi"
"XTVCCRX","${symbolinfo.typespecs},defi"
"XTVCCTK","${symbolinfo.typespecs},defi"
"XTVCCULT","${symbolinfo.typespecs},defi"
"XTVCCUSD","${symbolinfo.typespecs},defi"
"XTVCCUSDO","${symbolinfo.typespecs},defi"
"XTVCCVP","${symbolinfo.typespecs},defi"
"XTVCCVX","${symbolinfo.typespecs},defi"
"XTVCCVXCRV","${symbolinfo.typespecs},defi"
"XTVCCWAR","${symbolinfo.typespecs},defi"
"XTVCCWEB","${symbolinfo.typespecs},defi"
"XTVCCWS","${symbolinfo.typespecs},defi"
"XTVCCYBA","${symbolinfo.typespecs},defi"
"XTVCDAFI","${symbolinfo.typespecs},defi"
"XTVCDAI","${symbolinfo.typespecs},defi"
"XTVCDAIWO","${symbolinfo.typespecs},defi"
"XTVCDAM","${symbolinfo.typespecs},defi"
"XTVCDAO","${symbolinfo.typespecs},defi"
"XTVCDAPP","${symbolinfo.typespecs},defi"
"XTVCDARKSTAR","${symbolinfo.typespecs},defi"
"XTVCDBR","${symbolinfo.typespecs},defi"
"XTVCDCB","${symbolinfo.typespecs},defi"
"XTVCDCK","${symbolinfo.typespecs},defi"
"XTVCDDX","${symbolinfo.typespecs},defi"
"XTVCDEEP","${symbolinfo.typespecs},defi"
"XTVCDEFI","${symbolinfo.typespecs},defi"
"XTVCDEGO","${symbolinfo.typespecs},defi"
"XTVCDEL","${symbolinfo.typespecs},defi"
"XTVCDERI","${symbolinfo.typespecs},defi"
"XTVCDERO","${symbolinfo.typespecs},defi"
"XTVCDETF","${symbolinfo.typespecs},defi"
"XTVCDEVVE","${symbolinfo.typespecs},defi"
"XTVCDEXE","${symbolinfo.typespecs},defi"
"XTVCDEXNET","${symbolinfo.typespecs},defi"
"XTVCDEXTF","${symbolinfo.typespecs},defi"
"XTVCDF","${symbolinfo.typespecs},defi"
"XTVCDFD","${symbolinfo.typespecs},defi"
"XTVCDFDVX","${symbolinfo.typespecs},defi"
"XTVCDFH","${symbolinfo.typespecs},defi"
"XTVCDFI","${symbolinfo.typespecs},defi"
"XTVCDFL","${symbolinfo.typespecs},defi"
"XTVCDFYN","${symbolinfo.typespecs},defi"
"XTVCDHT","${symbolinfo.typespecs},defi"
"XTVCDHV","${symbolinfo.typespecs},defi"
"XTVCDIA","${symbolinfo.typespecs},defi"
"XTVCDIAM","${symbolinfo.typespecs},defi"
"XTVCDIGG","${symbolinfo.typespecs},defi"
"XTVCDINERO","${symbolinfo.typespecs},defi"
"XTVCDINO","${symbolinfo.typespecs},defi"
"XTVCDIONE","${symbolinfo.typespecs},defi"
"XTVCDIP","${symbolinfo.typespecs},defi"
"XTVCDIS","${symbolinfo.typespecs},defi"
"XTVCDMD","${symbolinfo.typespecs},defi"
"XTVCDNX","${symbolinfo.typespecs},defi"
"XTVCDODO","${symbolinfo.typespecs},defi"
"XTVCDOGA","${symbolinfo.typespecs},defi"
"XTVCDOGEFATHER","${symbolinfo.typespecs},defi"
"XTVCDOLO","${symbolinfo.typespecs},defi"
"XTVCDOPE","${symbolinfo.typespecs},defi"
"XTVCDOS","${symbolinfo.typespecs},defi"
"XTVCDOT","${symbolinfo.typespecs},defi"
"XTVCDPI","${symbolinfo.typespecs},defi"
"XTVCDPX","${symbolinfo.typespecs},defi"
"XTVCDRIFT","${symbolinfo.typespecs},defi"
"XTVCDRV","${symbolinfo.typespecs},defi"
"XTVCDSLA","${symbolinfo.typespecs},defi"
"XTVCDUEL","${symbolinfo.typespecs},defi"
"XTVCDUSD","${symbolinfo.typespecs},defi"
"XTVCDXD","${symbolinfo.typespecs},defi"
"XTVCDYOR","${symbolinfo.typespecs},defi"
"XTVCDYP","${symbolinfo.typespecs},defi"
"XTVCDYP","${symbolinfo.typespecs},defi"
"XTVCEBTC","${symbolinfo.typespecs},defi"
"XTVCECHO","${symbolinfo.typespecs},defi"
"XTVCECOREAL","${symbolinfo.typespecs},defi"
"XTVCEDGEN","${symbolinfo.typespecs},defi"
"XTVCEDGESOL","${symbolinfo.typespecs},defi"
"XTVCEETH","${symbolinfo.typespecs},defi"
"XTVCEGG","${symbolinfo.typespecs},defi"
"XTVCEGP","${symbolinfo.typespecs},defi"
"XTVCEGS","${symbolinfo.typespecs},defi"
"XTVCEIGEN","${symbolinfo.typespecs},defi"
"XTVCELDA","${symbolinfo.typespecs},defi"
"XTVCELMON","${symbolinfo.typespecs},defi"
"XTVCELYS","${symbolinfo.typespecs},defi"
"XTVCEMON","${symbolinfo.typespecs},defi"
"XTVCEMYC","${symbolinfo.typespecs},defi"
"XTVCENA","${symbolinfo.typespecs},defi"
"XTVCEOS","${symbolinfo.typespecs},defi"
"XTVCEPIC","${symbolinfo.typespecs},defi"
"XTVCEPS","${symbolinfo.typespecs},defi"
"XTVCEPX","${symbolinfo.typespecs},defi"
"XTVCEQB","${symbolinfo.typespecs},defi"
"XTVCEQX","${symbolinfo.typespecs},defi"
"XTVCERA","${symbolinfo.typespecs},defi"
"XTVCERG","${symbolinfo.typespecs},defi"
"XTVCERSDL","${symbolinfo.typespecs},defi"
"XTVCERTHA","${symbolinfo.typespecs},defi"
"XTVCES","${symbolinfo.typespecs},defi"
"XTVCESD","${symbolinfo.typespecs},defi"
"XTVCETF","${symbolinfo.typespecs},defi"
"XTVCETH2X-FLI","${symbolinfo.typespecs},defi"
"XTVCETHA","${symbolinfo.typespecs},defi"
"XTVCETHDYDX","${symbolinfo.typespecs},defi"
"XTVCETHFI","${symbolinfo.typespecs},defi"
"XTVCETHX","${symbolinfo.typespecs},defi"
"XTVCETNA","${symbolinfo.typespecs},defi"
"XTVCEVA","${symbolinfo.typespecs},defi"
"XTVCEXVG","${symbolinfo.typespecs},defi"
"XTVCEYWA","${symbolinfo.typespecs},defi"
"XTVCEZ","${symbolinfo.typespecs},defi"
"XTVCEZETH","${symbolinfo.typespecs},defi"
"XTVCEZSOL","${symbolinfo.typespecs},defi"
"XTVCF","${symbolinfo.typespecs},defi"
"XTVCFAR","${symbolinfo.typespecs},defi"
"XTVCFARM","${symbolinfo.typespecs},defi"
"XTVCFBTC","${symbolinfo.typespecs},defi"
"XTVCFCL","${symbolinfo.typespecs},defi"
"XTVCFCTR","${symbolinfo.typespecs},defi"
"XTVCFEG","${symbolinfo.typespecs},defi"
"XTVCFEI","${symbolinfo.typespecs},defi"
"XTVCFEVR","${symbolinfo.typespecs},defi"
"XTVCFIDA","${symbolinfo.typespecs},defi"
"XTVCFIN","${symbolinfo.typespecs},defi"
"XTVCFINC","${symbolinfo.typespecs},defi"
"XTVCFINE","${symbolinfo.typespecs},defi"
"XTVCFIO","${symbolinfo.typespecs},defi"
"XTVCFIRE","${symbolinfo.typespecs},defi"
"XTVCFIRO","${symbolinfo.typespecs},defi"
"XTVCFIS","${symbolinfo.typespecs},defi"
"XTVCFITFI","${symbolinfo.typespecs},defi"
"XTVCFLDT","${symbolinfo.typespecs},defi"
"XTVCFLIP","${symbolinfo.typespecs},defi"
"XTVCFLM","${symbolinfo.typespecs},defi"
