rts-ticker,isin
C:OZ1\SP,BRBMEFOZ1003
C:OZ2\SP,BRBMEFOZ2001
C:OZ3\SP,BRBMEFOZ3009
P:SCSF104,BRBMEFSCS2B9
P:SCSF203,BRBMEFSCS2S3
P:SCSF302,BRBMEFSCS338
P:SCSG101,BRBMEFSCS2D5
P:SCSG201,BRBMEFSCS2U9
P:SCSG301,BRBMEFSCS361
P:SCSH101,BRBMEFSCS2F0
P:SCSH202,BRBMEFSCS2R5
P:SCSH301,BRBMEFSCS387
P:SCSJ101,BRBMEFSCS2I4
P:SCSJ201,BRBMEFSCS2P9
P:SCSJ303,BRBMEFSCS312
P:SCSK103,BRBMEFSCS2L8
P:SCSK202,BRBMEFSCS2T1
P:SCSK302,BRBMEFSCS346
P:SCSM001,BRBMEFSCS254
P:SCSM101,BRBMEFSCS2M6
P:SCSM201,BRBMEFSCS2W5
P:SCSM301,BRBMEFSCS353
P:SCSN001,BRBMEFSCS270
P:SCSN101,BRBMEFSCS2G8
P:SCSN201,BRBMEFSCS2V7
P:SCSN303,BRBMEFSCS379
P:SCSQ003,BRBMEFSCS296
P:SCSQ102,BRBMEFSCS2J2
P:SCSQ201,BRBMEFSCS2Z8
P:SCSU001,BRBMEFSCS2C7
P:SCSU101,BRBMEFSCS2K0
P:SCSU201,BRBMEFSCS2X3
P:SCSV001,BRBMEFSCS288
P:SCSV101,BRBMEFSCS2N4
P:SCSV203,BRBMEFSCS2Y1
P:SCSV302,BRBMEFSCS395
P:SCSX003,BRBMEFSCS2E3
P:SCSX101,BRBMEFSCS2Q7
P:SCSX201,BRBMEFSCS304
P:SCSZ001,BRBMEFSCS2A1
P:SCSZ101,BRBMEFSCS2O2
P:SCSZ201,BRBMEFSCS320
R:OZ1\10D,BRBMEFOZT005
R:OZ1\15D,BRBMEFOZT005
R:OZ1\1M,BRBMEFOZT005
R:OZ1\20D,BRBMEFOZT005
R:OZ1\25D,BRBMEFOZT005
R:OZ1\2M,BRBMEFOZT005
R:OZ1\3M,BRBMEFOZT005
R:OZ1\4M,BRBMEFOZT005
R:OZ1\5D,BRBMEFOZT005
R:OZ1\5M,BRBMEFOZT005
R:OZ1\6M,BRBMEFOZT005
R:SCSK004,BRBMEFSCS262
X:USDBRL.A2,BMFBR0999002
