rts-ticker,isin
I:BUM,HU0005060228
I:BUX,XC0009655090
I:CETO,HU0005060236
I:CETON,HU0009294161
I:CETUC,HU0009686531
I:NAVB,HU0005063552
I:NAVC,HU0009294153
