rts-ticker,isin
I:INAAB,TN0009050154
I:INAUE,TN0009050147
I:INBCO,TN0009050139
I:INBMC,TN0009050188
I:INDAS,TN0009050048
I:INDBQ,TN0009050030
I:INDDI,TN0009050097
I:INDIN,TN0009050170
I:INDMB,TN0009050204
I:INDSC,TN0009050089
I:INDSF,TN0009050022
I:INPMP,TN0009050162
I:INSFI,TN0009050055
I:PX1,TN0009050014
I:TUN20,TN0009050287
