rts-ticker,isin
I:200,MYX020000000
I:826,MYX082600002
I:827,MYX082700000
I:828,MYX082800008
I:829,MYX082900006
I:840,MYX084000003
I:861,MYX086100009
I:863,MYX086300005
I:864,MYX086400003
I:865,MYX086500000
I:866,MYX086600008
I:867,MYX086700006
I:868,MYX086800004
I:869,MYX086900002
I:871,MYX087100008
I:872,MYX087200006
I:873,MYX087300004
I:874,MYX087400002
