rts-ticker,isin
020012,TW0000200120
E:0050,TW0000050004
E:0051,TW0000051002
E:0052,TW0000052000
E:0053,TW0000053008
E:0054,TW0000054006
E:0055,TW0000055003
E:0056,TW0000056001
E:0057,TW0000057009
E:0061,TW0000061001
E:006203,TW0000062033
E:006204,TW0000062041
E:006205,TW0000062058
E:006206,TW0000062066
E:006207,TW0000062074
E:006208,TW0000062082
E:00625K,TW00000625K4
E:00631L,TW00000631L0
E:00632R,TW00000632R5
E:00633L,TW00000633L6
E:00634R,TW00000634R1
E:00635U,TW00000635U2
E:00636,TW0000063601
E:00636K,TW00000636K1
E:00637L,TW00000637L7
E:00638R,TW00000638R2
E:00639,TW0000063908
E:00640L,TW00000640L1
E:00641R,TW00000641R6
E:00642U,TW00000642U8
E:00643,TW0000064302
E:00643K,TW00000643K7
E:00645,TW0000064500
E:00646,TW0000064609
E:00647L,TW00000647L6
E:00648R,TW00000648R1
E:00650L,TW00000650L0
E:00651R,TW00000651R5
E:00652,TW0000065200
E:00653L,TW00000653L4
E:00654R,TW00000654R9
E:00655L,TW00000655L9
E:00656R,TW00000656R4
E:00657,TW0000065705
E:00657K,TW00000657K7
E:00660,TW0000066000
E:00661,TW0000066109
E:00662,TW0000066208
E:00663L,TW00000663L3
E:00664R,TW00000664R8
E:00665L,TW00000665L8
E:00666R,TW00000666R3
E:00668,TW0000066802
E:00668K,TW00000668K4
E:00669R,TW00000669R7
E:00670L,TW00000670L8
E:00671R,TW00000671R3
E:00672L,TW00000672L4
E:00673R,TW00000673R9
E:00674R,TW00000674R7
E:00675L,TW00000675L7
E:00676R,TW00000676R2
E:00677U,TW00000677U4
E:00678,TW0000067800
E:00680L,TW00000680L7
E:00681R,TW00000681R2
E:00682U,TW00000682U4
E:00683L,TW00000683L1
E:00684R,TW00000684R6
E:00685L,TW00000685L6
E:00686R,TW00000686R1
E:00688L,TW00000688L0
E:00689R,TW00000689R5
E:00690,TW0000069004
E:00691R,TW00000691R1
E:00692,TW0000069202
E:00693U,TW00000693U1
E:00700,TW0000070002
E:00701,TW0000070101
E:00702,TW0000070200
E:00703,TW0000070309
E:00706L,TW00000706L0
E:00707R,TW00000707R5
E:00708L,TW00000708L6
E:00709,TW0000070903
E:00710B,TW00000710B3
E:00711B,TW00000711B1
E:00712,TW0000071208
E:00713,TW0000071307
E:00714,TW0000071406
E:00715L,TW00000715L1
E:00717,TW0000071703
E:00728,TW0000072800
E:00730,TW0000073006
E:00731,TW0000073105
E:00732,TW0000073204
E:00733,TW0000073303
E:00735,TW0000073501
E:00736,TW0000073600
E:00737,TW0000073709
E:00738U,TW00000738U4
E:00739,TW0000073907
E:00742,TW0000074202
E:00743,TW0000074301
E:00752,TW0000075209
E:00753L,TW00000753L2
E:00757,TW0000075704
E:00762,TW0000076207
E:00763U,TW00000763U2
E:00766L,TW00000766L4
E:00767,TW0000076702
E:00770,TW0000077007
E:00771,TW0000077106
E:00774B,TW00000774B9
E:00774C,TW00000774C7
E:00775B,TW00000775B6
E:00776,TW0000077601
E:00783,TW0000078302
E:008201,HK0000052297
E:00830,TW0000083005
E:00850,TW0000085000
E:00851,TW0000085109
E:00852L,TW00000852L2
E:00861,TW0000086107
E:00865B,TW00000865B5
E:00866,TW0000086602
E:00875,TW0000087501
E:01001T,TW00001001T8
E:01002T,TW00001002T6
E:01003T,TW00001003T4
E:01004T,TW00001004T2
E:01007T,TW00001007T5
E:01009T,TW00001009T1
E:01010T,TW00001010T9
E:1101,TW0001101004
E:1101B,TW0001101B05
E:1102,TW0001102002
E:1103,TW0001103000
E:1104,TW0001104008
E:1108,TW0001108009
E:1109,TW0001109007
E:1110,TW0001110005
E:1201,TW0001201002
E:1203,TW0001203008
E:1210,TW0001210003
E:1213,TW0001213007
E:1215,TW0001215002
E:1216,TW0001216000
E:1217,TW0001217008
E:1218,TW0001218006
E:1219,TW0001219004
E:1220,TW0001220002
E:1225,TW0001225001
E:1227,TW0001227007
E:1229,TW0001229003
E:1231,TW0001231009
E:1232,TW0001232007
E:1233,TW0001233005
E:1234,TW0001234003
E:1235,TW0001235000
E:1236,TW0001236008
E:1256,KYG858681003
E:1301,TW0001301000
E:1303,TW0001303006
E:1304,TW0001304004
E:1305,TW0001305001
E:1307,TW0001307007
E:1308,TW0001308005
E:1309,TW0001309003
E:1310,TW0001310001
E:1312,TW0001312007
E:1312A,TW0001312A01
E:1313,TW0001313005
E:1314,TW0001314003
E:1315,TW0001315000
E:1316,TW0001316008
E:1319,TW0001319002
E:1321,TW0001321008
E:1323,TW0001323004
E:1324,TW0001324002
E:1325,TW0001325009
E:1326,TW0001326007
E:1337,KYG0539R1039
E:1338,KYG451001070
E:1339,TW0001339000
E:1340,KYG935971054
E:1341,KYG3730M1050
E:1402,TW0001402006
E:1409,TW0001409001
E:1410,TW0001410009
E:1413,TW0001413003
E:1414,TW0001414001
E:1416,TW0001416006
E:1417,TW0001417004
E:1418,TW0001418002
E:1419,TW0001419000
E:1423,TW0001423002
E:1432,TW0001432003
E:1434,TW0001434009
E:1435,TW0001435006
E:1436,TW0001436004
E:1437,TW0001437002
E:1438,TW0001438000
E:1439,TW0001439008
E:1440,TW0001440006
E:1441,TW0001441004
E:1442,TW0001442002
E:1443,TW0001443000
E:1444,TW0001444008
E:1445,TW0001445005
E:1446,TW0001446003
E:1447,TW0001447001
E:1449,TW0001449007
E:1451,TW0001451003
E:1452,TW0001452001
E:1453,TW0001453009
E:1454,TW0001454007
E:1455,TW0001455004
E:1456,TW0001456002
E:1457,TW0001457000
E:1459,TW0001459006
E:1460,TW0001460004
E:1463,TW0001463008
E:1464,TW0001464006
E:1465,TW0001465003
E:1466,TW0001466001
E:1467,TW0001467009
E:1468,TW0001468007
E:1470,TW0001470003
E:1471,TW0001471001
E:1472,TW0001472009
E:1473,TW0001473007
E:1474,TW0001474005
E:1475,TW0001475002
E:1476,TW0001476000
E:1477,TW0001477008
E:1503,TW0001503001
E:1504,TW0001504009
E:1506,TW0001506004
E:1507,TW0001507002
E:1512,TW0001512002
E:1513,TW0001513000
E:1514,TW0001514008
E:1515,TW0001515005
E:1516,TW0001516003
E:1517,TW0001517001
E:1519,TW0001519007
E:1521,TW0001521003
E:1522,TW0001522001
E:1524,TW0001524007
E:1525,TW0001525004
E:1526,TW0001526002
E:1527,TW0001527000
E:1528,TW0001528008
E:1529,TW0001529006
E:1530,TW0001530004
E:1531,TW0001531002
E:1532,TW0001532000
E:1533,TW0001533008
E:1535,TW0001535003
E:1536,TW0001536001
E:1537,TW0001537009
E:1538,TW0001538007
E:1539,TW0001539005
E:1540,TW0001540003
E:1541,TW0001541001
E:1558,TW0001558005
E:1560,TW0001560001
E:1568,TW0001568004
E:1582,TW0001582005
E:1583,TW0001583003
E:1587,TW0001587004
E:1589,KYG984291065
E:1590,KYG014081064
E:1592,KYG316231045
E:1598,TW0001598001
E:1603,TW0001603009
E:1604,TW0001604007
E:1605,TW0001605004
E:1608,TW0001608008
E:1609,TW0001609006
E:1611,TW0001611002
E:1612,TW0001612000
E:1614,TW0001614006
E:1615,TW0001615003
E:1616,TW0001616001
E:1617,TW0001617009
E:1618,TW0001618007
E:1626,KYG0135T1076
E:1701,TW0001701001
E:1702,TW0001702009
E:1707,TW0001707008
E:1708,TW0001708006
E:1709,TW0001709004
E:1710,TW0001710002
E:1711,TW0001711000
E:1712,TW0001712008
E:1713,TW0001713006
E:1714,TW0001714004
E:1717,TW0001717007
E:1718,TW0001718005
E:1720,TW0001720001
E:1721,TW0001721009
E:1722,TW0001722007
E:1723,TW0001723005
E:1724,TW0001724003
E:1725,TW0001725000
E:1726,TW0001726008
E:1727,TW0001727006
E:1730,TW0001730000
E:1731,TW0001731008
E:1732,TW0001732006
