rts-ticker,isin
I:OMXC20,DK0016268840
I:OMXC25,DK0060775369
I:OMXCPI,DK0060488385
I:OMXH25,FI0008900212
I:OMXHPI,FI0008900006
I:OMXI15,IS0000018885
I:OMXIPI,IS0000004463
I:OMXN40,SE0001809476
I:OMXNORDICEURPI,SE0001775537
I:OMXS30,SE0000337842
I:OMXSPI,SE0000744195
