rts-ticker,isin
I:1,MYX000100002
I:10,MYX001000003
I:2,MYX000200000
I:20,MYX002000002
I:25,MYX002500001
I:3,MYX000300008
I:5,MYX000500003
I:50,MYX005000009
I:61,MYX006100006
I:62,MYX006200004
I:63,MYX006300002
I:64,MYX006400000
I:65,MYX006500007
I:841,MYX084100001
I:842,MYX084200009
I:843,MYX084300007
