rts-ticker,isin
I:ALL,PSEALL000001
I:FIN,PSEFIN000009
I:HDG,PSEHDG000001
I:IND,PSEIND000001
I:M-O,PSEMO0000003
I:PRO,PSEPRO000005
I:PSEI,PSEPSEI00000
I:SVC,PSESVC000000
