rts-ticker,isin
E:0Q3,US08862E1091
E:100GBA,LU0136242590
E:100GBA-GBP,LU0136242590
E:100UKD-GBP,LU1107559459
E:1BR1,FR0013326246
E:1COV,DE0006062144
E:1N8,NL0012969182
E:1Q5,US26210C1045
E:2HQ,US88688T1007
E:4BRZ-USD,DE000A0Q4R85
E:4I41-USD,LI0026536354
E:4N27-EUR,LI0026536404
E:4N28-USD,LI0026536305
E:4N28-USD.DK,LI0026536305
E:4N2G-EUR,LI0106892966
E:500E-EUR,LU1681048804
E:500USD-USD,LU1681049018
E:500X-USD,IE00BH4GPZ28
E:5ESGE-EUR,IE00BHXMHQ65
E:5ESGG-GBP,IE00BHXMHR72
E:5ESGS,IE00BHXMHN35
E:600X-EUR,IE00BK5H8015
E:A1G,US02376R1023
E:AABA,US0213461017
E:AABA-USD,US0213461017
E:AAD,DE0005093108
E:AAM,GB00B1XZS820
E:AAPL,US0378331005
E:AAPL-EUR,US0378331005
E:AAPL-USD,US0378331005
E:AASI-EUR,LU1681044480
E:AASU-USD,LU1681044563
E:ABBA,CH0496484640
E:ABBN,CH0012221716
E:ABCH-USD,CH0475552201
E:ABD2-USD,LU0011963245
E:ABD4-USD,LU0132412106
E:ABD9-USD,LU0231459107
E:ABGY-USD,CH0002789201
E:ABIT,BE0974293251
E:ABNB-USD,CH0496454155
E:ABPH-USD,CH0002772652
E:ABT,US0028241000
E:ABTC,CH0454664001
E:ABTC-EUR,CH0454664001
E:ABTC-USD,CH0454664001
E:ABTI-USD,CH0002771613
E:ABX,CA0679011084
E:AC,FR0000120404
E:ACA,FR0000045072
E:ACCUKD,IE00BZ2GTT26
E:ACEUKD-EUR,IE00BYVDRD78
E:ACGUKD-GBP,IE00BYVDRF92
E:ACH3-USD,LU1997245177
E:ACHI,KYG0101M1024
E:ACHI-USD,KYG0101M1024
E:ACHI1,CH0522213468
E:ACUUKD-USD,IE00BYVDRC61
E:ACWI,IE00B44Z5B48
E:ACWIA-USD,IE00BYM11H29
E:ACWIE-EUR,IE00BYM11K57
E:ACWIJ-JPY,IE00BD495N16
E:ACWIS,IE00BYM11L64
E:ACWIU-USD,IE00BYM11J43
E:ACWUKD-USD,IE00BJXFZ989
E:ADAGMS,CH0034334737
E:ADBE,US00724F1012
E:ADEN,CH0012138605
E:ADENE,CH0532347462
E:ADGLBA,CH0113817065
E:ADM,US0394831020
E:ADS,DE000A1EWWW0
E:ADS-EUR,DE000A1EWWW0
E:ADV,DE0005103006
E:ADVN,CH0008967926
E:ADXN,CH0029850754
E:AEEM-EUR,LU1681045370
E:AEF5-USD,LU0278937759
E:AEM,CA0084741085
E:AEMW-USD,LU0347592197
E:AETH,CH0454664027
E:AETH-EUR,CH0454664027
E:AETH-USD,CH0454664027
E:AEUB-EUR,CH0048476664
E:AEUH,CH0297417534
E:AEUP-EUR,CH0027940730
E:AEVS,CH0478634105
E:AFIN-EUR,LU1681040066
E:AFLC,LU1732799066
E:AFLE-EUR,LU1681041031
E:AFLT-USD,LU1681040900
E:AFP,CH0453226893
E:AFX,DE0005313704
E:AGBP-GBP,IE00BF540Y54
E:AGEB-USD,LU1681041205
E:AGED-USD,IE00BYZK4669
E:AGGG-USD,IE00B3F81409
E:AGGH-EUR,IE00BDBRDM35
E:AGGS,IE00BD1JRY91
E:AGGU-USD,IE00BZ043R46
E:AH8V-EUR,LU0414045822
E:AIAI,IE00BK5BCD43
E:AIEE-EUR,CH0248877885
E:AIEF,CH0302271066
E:AIG,US0268747849
E:AIG-USD,US0268747849
E:AIR,NL0000235190
E:AIRE,CH0010947627
E:AIXA,DE000A0WMPJ6
E:AIY,US00507V1098
E:AJEUAS-USD,IE00B7WK2W23
E:ALAT-EUR,LU1681045024
E:ALAU-USD,LU1681045297
E:ALC,CH0432492467
E:ALLN,CH0008837566
E:ALPN,CH0019199550
E:ALSN,CH0024590272
E:ALV,DE0008404005
E:ALV-EUR,DE0008404005
E:AMD,US0079031078
E:AMD-USD,US0079031078
E:AMGG,CH0024686773
E:AMGN,US0311621009
E:AMGN-USD,US0311621009
E:AMGR,CH0197484386
E:AMGS,CH0019597530
E:AMGW,CH0420487941
E:AMS,AT0000A18XM4
E:AMZN,US0231351067
E:AMZN-USD,US0231351067
E:AN05-EUR,LU1670710075
E:ANFO,CH0014420829
E:ANOM-EUR,LU1670724373
E:AOX,DE000A0LD2U1
E:APGN,CH0019107025
E:AQCS,LI0012960956
E:ARBN,CH0110240600
E:ARL,DE0005408116
E:ARON,CH0002271010
E:ARYN,CH0043238366
E:ASCN,CH0011339204
E:ASG,IT0000062072
E:ASL2,CH0026400959
E:ASRUSA-USD,LU0629460089
E:ASS2,CH0049041186
E:ASWN,CH0404880129
E:AT1C,IE00BLM1CB28
E:AT1D-USD,IE00BG0TQB18
E:AT1S-GBP,IE00BYZLWM19
E:AU,US0351282068
E:AUCHAH,CH0106027128
E:AUCO,IE00B3CNHG25
E:AUEM-USD,LU1681045453
E:AUEUAH-EUR,CH0106027144
E:AUHCHA,IE00BX7RS779
E:AUHEUA-EUR,IE00BWT3KS11
E:AUHGBA-GBP,IE00BXDZNQ90
E:AUHGBD-GBP,IE00BXDZNP83
E:AUHUSA-USD,IE00BX7RS555
E:AUSAUW,IE00BD4TY451
E:AUSAUW-AUD,IE00BD4TY451
E:AUSAUY-AUD,IE00BD4TY345
E:AUTN,CH0127480363
E:AUUSI,CH0106027193
E:AUUSI-USD,CH0106027193
E:AW45,LU0087657150
E:AWESG,IE00BDQZMX67
E:AWESGE-EUR,IE00BDQZN337
E:AWESGG-GBP,IE00BDQZN550
E:AWESGJ-JPY,IE00BYVHJM24
E:AWESGS,IE00BDQZN774
E:AWESGT,IE00BDQZN667
E:AWESGW,IE00BDQZN113
E:AWESGW-USD,IE00BDQZN113
E:AWSRI,IE00BDR55364
E:AWSRIA-USD,IE00BDR55471
E:AWSRIE-EUR,IE00BDR55927
E:AWSRIH-GBP,IE00BDR55B48
E:AWSRIS,IE00BDR55F85
E:AWSRIT,IE00BDR55D61
E:AWSRIW,IE00BDR55703
E:AWSRIW-USD,IE00BDR55703
E:AXP,US0258161092
E:AXP-USD,US0258161092
E:AXRP-USD,CH0454664043
E:AXTZ-USD,CH0491507486
E:AZN,GB0009895292
E:B4B,DE000BFB0019
E:B5A,DE0005168108
E:BA,US0970231058
E:BA-USD,US0970231058
E:BABA,US01609W1027
E:BABA-USD,US01609W1027
E:BAC,US0605051046
E:BAC-USD,US0605051046
E:BACK-USD,IE00BQT3VN15
E:BAER,CH0102484968
E:BAERE,CH0126645776
E:BALN,CH0012410517
E:BANB,CH0012530207
E:BARC,GB0031348658
E:BARN,CH0009002962
E:BAS,DE000BASF111
E:BAS-EUR,DE000BASF111
E:BATS,GB0002875804
E:BATT,IE00BF0M2Z96
E:BAX,US0718131099
E:BAYN,DE000BAY0017
E:BAYN-EUR,DE000BAY0017
E:BB,CA09228F1036
E:BBEG-EUR,IE00BJK9HD13
E:BBEN,CH0023244368
E:BBIL-USD,IE00BJK3WF00
E:BBN,CH0028422100
E:BBTP-GBP,IE00BK6Q9938
E:BBTR-USD,IE00BJK9HH50
E:BBUD-USD,IE00BJK9H860
E:BBUS-USD,IE00BJK9H753
E:BCCMA-USD,IE00BYYLVH00
E:BCCME-EUR,IE00BYYLVJ24
E:BCCMG-GBP,IE00BF0V4615
E:BCCMS,IE00BYYLVK39
E:BCGE,CH0350494719
E:BCHE-USD,IE00BGBN6P67
E:BCHN,CH0025536027
E:BCJ,CH0350665672
E:BCSS,CH0026517968
E:BCVC,CH0024634401
E:BCVN,CH0531751755
E:BCVN0.DK,CH0015251710
E:BCVN1,CH0531751755
E:BDT,DE0005232805
E:BDX,US0758871091
E:BEAN,CH0001503199
E:BEI,DE0005200000
E:BEI-EUR,DE0005200000
E:BEKN,CH0009691608
E:BELL,CH0315966322
E:BGWG,LU0521028471
E:BGWM,LU0521028554
E:BHP,AU000000BHP4
E:BIDU,US0567521085
E:BIIB,US09062X1037
E:BIM,CH0026725611
E:BIO3,DE0005227235
E:BIOEE,CH0027659793
E:BION,CH0038389992
