rts-ticker,isin
E:ACSEL.E,TREACSS00017
E:ACSEL.TE,TREACSS00017
E:ADANA.E,TRAADANA91F0
E:ADANA.TE,TRAADANA91F0
E:ADBGR.E,TRAADBGR91F6
E:ADBGR.TE,TRAADBGR91F6
E:ADEL.E,TRAADELW91T1
E:ADEL.TE,TRAADELW91T1
E:ADESE.BE,TREADSE00015
E:ADESE.E,TREADSE00015
E:ADESE.R,TRRADSE00041
E:ADESE.TE,TREADSE00015
E:ADESE.TR,TRRADSE00041
E:ADNAC.E,TRAADNAC91F6
E:ADNAC.TE,TRAADNAC91F6
E:AEFES.E,TRAAEFES91A9
E:AEFES.TE,TRAAEFES91A9
E:AFYON.BE,TRAAFYON91F6
E:AFYON.E,TRAAFYON91F6
E:AFYON.TE,TRAAFYON91F6
E:AGESA.E,TRECUHE00018
E:AGESA.TE,TRECUHE00018
E:AGHOL.E,TRAYAZIC91Q6
E:AGHOL.TE,TRAYAZIC91Q6
E:AGYO.BE,TRAAGYOW91Q2
E:AGYO.E,TRAAGYOW91Q2
E:AGYO.R,TRRATKG00064
E:AGYO.TE,TRAAGYOW91Q2
E:AGYO.TR,TRRATKG00064
E:AHGAZ.E,TREAHLA00019
E:AHGAZ.TE,TREAHLA00019
E:AKBNK.E,TRAAKBNK91N6
E:AKBNK.TE,TRAAKBNK91N6
E:AKCNS.E,TRAAKCNS91F3
E:AKCNS.TE,TRAAKCNS91F3
E:AKENR.E,TRAAKENR91L9
E:AKENR.TE,TRAAKENR91L9
E:AKFGY.BE,TREAKFG00012
E:AKFGY.E,TREAKFG00012
E:AKFGY.NSE,TREAKFG00012
E:AKFGY.R,TRRAKFG00048
E:AKFGY.TE,TREAKFG00012
E:AKFGY.TR,TRRAKFG00048
E:AKGRT.BE,TRAAKGRT91O5
E:AKGRT.E,TRAAKGRT91O5
E:AKGRT.R,TRRAKSG00025
E:AKGRT.TE,TRAAKGRT91O5
E:AKGRT.TR,TRRAKSG00025
E:AKGUV.E,TREAKGH00018
E:AKGUV.TE,TREAKGH00018
E:AKMGY.E,TREAKMG00018
E:AKMGY.TE,TREAKMG00018
E:AKSA.E,TRAAKSAW91E1
E:AKSA.TE,TRAAKSAW91E1
E:AKSEN.E,TREAKSN00011
E:AKSEN.TE,TREAKSN00011
E:AKSGY.BE,TREAIGY00017
E:AKSGY.E,TREAIGY00017
E:AKSGY.R,TRRAIGY00035
E:AKSGY.TE,TREAIGY00017
E:AKSGY.TR,TRRAIGY00035
E:AKSUE.BE,TRAAKSUE91L2
E:AKSUE.E,TRAAKSUE91L2
E:AKSUE.R,TRRAKSE00061
E:AKSUE.TE,TRAAKSUE91L2
E:AKSUE.TR,TRRAKSE00061
E:AKYHO.BE,TREAKGH00018
E:AKYHO.E,TREAKGH00018
E:AKYHO.R,TRRAKGH00044
E:AKYHO.TE,TREAKGH00018
E:AKYHO.TR,TRRAKGH00044
E:ALARK.E,TRAALARK91Q0
E:ALARK.TE,TRAALARK91Q0
E:ALBRK.BE,TREALBK00011
E:ALBRK.E,TREALBK00011
E:ALBRK.R,TRRALBK00021
E:ALBRK.TE,TREALBK00011
E:ALBRK.TR,TRRALBK00021
E:ALBTS.F1,TRYAGPY00010
E:ALBTS.TF1,TRYAGPY00010
E:ALCAR.E,TRAALRSA91H2
E:ALCAR.TE,TRAALRSA91H2
E:ALCTL.E,TRAALCTL91H9
E:ALCTL.TE,TRAALCTL91H9
E:ALDUK.F1,TRYAGPY00044
E:ALDUK.TF1,TRYAGPY00044
E:ALFAS.E,TREALFS00023
E:ALFAS.TE,TREALFS00023
E:ALGYO.E,TRAALGYO91Q5
E:ALGYO.TE,TRAALGYO91Q5
E:ALKA.E,TRAALKAW91D8
E:ALKA.TE,TRAALKAW91D8
E:ALKIM.E,TRAALKIM91E0
E:ALKIM.TE,TRAALKIM91E0
E:ALMAD.BE,TRAALYAG91A8
E:ALMAD.E,TRAALYAG91A8
E:ALMAD.NSE,TRAALYAG91A8
E:ALMAD.R,TRRALYG00088
E:ALMAD.TE,TRAALYAG91A8
E:ALMAD.TR,TRRALYG00088
E:ALONE.F1,TRYAGPY00028
E:ALONE.TF1,TRYAGPY00028
E:ALTIN.S1,TRXDRP012213
E:ALTIN.TS1,TRXDRP012213
E:ALYAG.E,TRAALYAG91A8
E:ALYAG.TE,TRAALYAG91A8
E:ANACM.E,TRAANACM91F7
E:ANACM.TE,TRAANACM91F7
E:ANELE.BE,TREAEPT00017
E:ANELE.E,TREAEPT00017
E:ANELE.R,TRRAEPT00027
E:ANELE.TE,TREAEPT00017
E:ANELE.TR,TRRAEPT00027
E:ANGEN.E,TREANGN00028
E:ANGEN.TE,TREANGN00028
E:ANHYT.E,TRAANHYT91O3
E:ANHYT.TE,TRAANHYT91O3
E:ANSGR.E,TRAANSGR91O1
E:ANSGR.TE,TRAANSGR91O1
E:APYKS.F2,TRYAPYS00270
E:APYKS.TF2,TRYAPYS00270
E:APYVC.F2,TRYAPYS00106
E:APYVC.TF2,TRYAPYS00106
E:ARASE.E,TREARAS00039
E:ARASE.TE,TREARAS00039
E:ARCLK.E,TRAARCLK91H5
E:ARCLK.TE,TRAARCLK91H5
E:ARDYZ.E,TREARDY00023
E:ARDYZ.TE,TREARDY00023
E:ARENA.E,TRAARENA91U1
E:ARENA.TE,TRAARENA91U1
E:ARMDA.E,TREARMD00010
E:ARMDA.TE,TREARMD00010
E:ARSAN.E,TRAARSAN91B1
E:ARSAN.TE,TRAARSAN91B1
E:ARTI.E,TRETKYO00017
E:ARTI.TE,TRETKYO00017
E:ARZUM.E,TREAZEV00020
E:ARZUM.TE,TREAZEV00020
E:ASELS.E,TRAASELS91H2
E:ASELS.TE,TRAASELS91H2
E:ASLAN.E,TRAASLAN92F3
E:ASLAN.TE,TRAASLAN92F3
E:ASUZU.E,TRAASUZU91H4
E:ASUZU.TE,TRAASUZU91H4
E:ATAGY.BE,TRAATAYO91Q1
E:ATAGY.E,TRAATAYO91Q1
E:ATAGY.R,TRRATAY00043
E:ATAGY.TE,TRAATAYO91Q1
E:ATAGY.TR,TRRATAY00043
E:ATATP,TREATTP00023
E:ATATP.E,TREATTP00023
E:ATATP.TE,TREATTP00023
E:ATEKS.E,TRAATEKS91B5
E:ATEKS.TE,TRAATEKS91B5
E:ATLAS.BE,TRAATLAS91Q9
E:ATLAS.E,TRAATLAS91Q9
E:ATLAS.R,TRRATLS00083
E:ATLAS.TE,TRAATLAS91Q9
E:ATLAS.TR,TRRATLS00083
E:ATSYH.E,TRAATSYO91Q3
E:ATSYH.TE,TRAATSYO91Q3
E:AUKAK.F1,TRYTALP00036
E:AUKAK.TF1,TRYTALP00036
E:AUODK.F1,TRYTALP00051
E:AUODK.TF1,TRYTALP00051
E:AVGYO.E,TRAAVRSY91Q2
E:AVGYO.TE,TRAAVRSY91Q2
E:AVHOL.E,TREBYTS00017
E:AVHOL.NSE,TREBYTS00017
E:AVHOL.TE,TREBYTS00017
E:AVISA.E,TRECUHE00018
E:AVISA.TE,TRECUHE00018
E:AVOD.BE,TREAVOD00018
E:AVOD.E,TREAVOD00018
E:AVOD.R,TRRAVOD00044
E:AVOD.TE,TREAVOD00018
E:AVOD.TR,TRRAVOD00044
E:AVTUR.E,TREMRYO00017
E:AVTUR.TE,TREMRYO00017
E:AYCES.E,TRAAYCES92K1
E:AYCES.TE,TRAAYCES92K1
E:AYDEM.E,TREAYDM00024
E:AYDEM.TE,TREAYDM00024
E:AYEN.E,TRAAYENW91L0
E:AYEN.TE,TRAAYENW91L0
E:AYES.E,TREAYES00011
E:AYES.TE,TREAYES00011
E:AYGAZ.E,TRAAYGAZ91E0
E:AYGAZ.TE,TRAAYGAZ91E0
E:AZTEK.E,TREAZTK00021
E:AZTEK.TE,TREAZTK00021
E:BAGFS.BE,TREBGFS00039
E:BAGFS.E,TRABAGFS91E2
E:BAGFS.R,TRRBGFS00064
E:BAGFS.TE,TRABAGFS91E2
E:BAGFS.TR,TRRBGFS00064
