rts-ticker,isin
B:BBK.BND,BH000F358881
B:BONDBH10Y14052020,XS2172965282
B:GDEV.BND19,BH000G212533
B:GDEV11.BND,BH0005232523
B:GDEV12.BND,BH0004235303
B:GDEV13.BND,BH000422A873
B:GDEV14.BND,BH0002479382
B:GDEV15.BND,BH00063E4993
B:GDEV16.BND,BH0003049507
B:GDEV17.BND,BH0009646512
B:GDEV18.BND,BH000757P359
B:GDEV19.BND,BH0001669454
B:GDEV20.BND,BH000832V705
B:GDEV21.BND,BH000PH13820
B:GDEV22.BND,BH0006FH0881
B:GDEV9.BND,BH00081508X6
B:GILS22.SUK,BH000P2338W0
B:GILS23.SUK,BH0009119700
B:GILS24.SUK,BH0009039510
B:GILS25.SUK,BH0002141G66
B:GILS26.SUK,BH000E115258
B:IJ6M040221,BH0007170937
B:IJ6M051120,BH000X846420
B:IJ6M060220,BH0003436175
B:IJ6M060521,BH0001282795
B:IJ6M060820,BH00034319J5
B:IJ6M070121,BH00080RYZ44
B:IJ6M070520,BH000136O2Y2
B:IJ6M071119,BH0001B057C9
B:IJ6M080421,BH00019C3DV8
B:IJ6M080721,BH0001C80006
B:IJ6M080819,BH0001987682
B:IJ6M081020,BH0005042682
B:IJ6M090120,BH0009663A99
B:IJ6M090420,BH0006P7R779
B:IJ6M090720,BH000378N771
B:IJ6M100621,BH0001K5N624
B:IJ6M100920,BH000S063R77
B:IJ6M101019,BH0002315008
B:IJ6M101220,BH0007045H79
B:IJ6M110321,BH0007851486
B:IJ6M110620,BH0008573C98
B:IJ6M120320,BH0001343P97
B:IJ6M120919,BH00027U8395
B:IJ6M121219,BH000A157411
B:TB1Y200122,BH000O589M92
B:TB1Y210121,BH0007854I60
B:TB1Y211021,BH000V469258
B:TB1Y220421,BH0006GI5Q35
B:TB1Y220721,BH000632G031
B:TB1Y221020,BH000777AK29
B:TB1Y230120,BH0006918M60
B:TB1Y230420,BH0008912618
B:TB1Y230720,BH00096768G4
B:TB1Y230921,BH0001053X55
B:TB1Y231221,BH00049P6994
B:TB1Y240621,BH0005135973
B:TB1Y240920,BH000O4317Y6
B:TB1Y250221,BH0008672626
B:TB1Y250321,BH000409M529
B:TB1Y250620,BH0004004F93
B:TB1Y251121,BH00090570B1
B:TB1Y260320,BH0001921X89
B:TB1Y260821,BH00017045D0
B:TB1Y261120,BH00056C0364
B:TB1Y270220,BH000U40K769
B:TB1Y270521,BH000P143513
B:TB1Y270820,BH0002646G90
B:TB1Y280219,BH000DRV6054
B:TB1Y280319,BH00052106S4
B:TB1Y280520,BH0003694F66
B:TB1Y300519,BH00078J95B1
B:TB3M010120,BH0005184344
B:TB3M010420,BH000E80T216
B:TB3M010720,BH0001361334
B:TB3M020920,BH000J3R14B5
B:TB3M021220,BH0001F8ET00
B:TB3M030221,BH000JS34370
B:TB3M030321,BH0009J65724
B:TB3M030620,BH000539I570
B:TB3M040320,BH0009Z25831
B:TB3M041120,BH00011Q6583
B:TB3M041219,BH0007D42K69
B:TB3M050220,BH000253GN15
B:TB3M050820,BH000632L3G9
B:TB3M060121,BH0003905O29
B:TB3M060520,BH0002597795
B:TB3M070421,BH0001WX3L70
B:TB3M070819,BH0002071957
B:TB3M071020,BH0009106S52
B:TB3M080120,BH000V170849
B:TB3M080420,BH000B0N6989
B:TB3M080720,BH0002E75679
B:TB3M090920,BH000E191051
B:TB3M091220,BH000E1572I8
B:TB3M100221,BH000SQ669V6
B:TB3M100321,BH000B8D0ER6
B:TB3M100620,BH000648DK07
B:TB3M110320,BH0009Y61B69
B:TB3M111120,BH000G305683
B:TB3M111219,BH00034512M9
B:TB3M120220,BH000R209940
B:TB3M120820,BH000A43U095
B:TB3M130520,BH000TZ13MP7
B:TB3M140819,BH000752SP56
B:TB3M200121,BH000XF39930
B:TB3M210421,BH0005369556
B:TB3M211020,BH000803B401
B:TB3M220120,BH0008981639
B:TB3M220420,BH0003780622
B:TB3M220720,BH000IKX6658
B:TB3M230920,BH0001925M62
B:TB3M231220,BH0008490219
B:TB3M240221,BH0006480048
B:TB3M240321,BH000TX22556
B:TB3M240620,BH000361VI20
B:TB3M250320,BH000O80Y926
B:TB3M251120,BH00099926W2
B:TB3M251219,BH0006994782
B:TB3M260220,BH0003433503
B:TB3M260820,BH0002702593
B:TB3M270121,BH000181NL07
B:TB3M270520,BH0004K85374
B:TB3M271119,BH0009011741
B:TB3M280421,BH000V9868X5
B:TB3M281020,BH000803B401
B:TB3M290120,BH0002785H58
B:TB3M290420,BH0007CP4646
B:TB3M290720,BH000J37I6A3
B:TB3M300920,BH00040895U3
B:TB3M301220,BH0001527371
B:TB3M310321,BH000161PK91
B:TB3M310719,BH00010691W8
B:TB6M010320,BH0004974182
B:TB6M010821,BH0001A92E99
B:TB6M010919,BH000I31P143
B:TB6M020220,BH00074R0233
B:TB6M020820,BH000K7P3301
B:TB6M040819,BH0001197662
B:TB6M081120,BH00091900O2
B:TB6M090521,BH0004059794
B:TB6M100520,BH00046747W6
B:TB6M101119,BH000W028WM1
B:TB6M270621,BH000129Q953
B:TB6M270920,BH0004181H96
B:TB6M271220,BH0003764C31
B:TB6M280221,BH00087M8228
B:TB6M280321,BH000234N8Q7
B:TB6M280620,BH0004875298
B:TB6M290320,BH0001116274
B:TB6M290919,BH00074S3780
B:TB6M291120,BH0002A1ZP39
B:TB6M291219,BH0005205842
B:TB6M300521,BH0009P1D7H2
B:TB6M300820,BH00037151Z5
B:TB6M310121,BH0001400827
B:TB6M310520,BH0003162C96
E:ABC,BH0008794115
E:ALBH,BH0006000044
E:APMTB,BH0006Y11350
E:ARIG,BH0009114776
E:AUB,BH0005508765
E:BANADER,BH000A0ES6N8
E:BARKA,BH000A0KEZD7
E:BASREC,BH0004659486
E:BATELCO,BH0060713458
E:BBK,BH0004659916
E:BCFC,BH0004652895
E:BFM,BH0004650642
E:BISB,BH0004648950
E:BKIC,BH0004654263
E:BMB,BH0004657779
E:BMMI,BH0004648679
E:BMUSC,OM0000002796
E:BNH,BH0004658074
E:CINECO,BH0004653588
E:CPARK,BH0004653638
E:DUTYF,BH0004656722
E:EBRIT,BH0005158K14
E:ESTERAD,BH000A0F5KU4
E:FAMILY,BH0004657043
E:GDEV20.BND,BH000832V705
E:GFH,BH000A0CAQK6
E:GHG,BH0004649933
E:GLBL.DSF,BH000A0QY1M9
E:GLBL.EPDIF,BH000A0QY1S6
E:GLBL.GIF,BH000AOQY1N7
E:GLBL.IF,BH000A0QZKH2
E:GLBL.LCF,BH000A0QZKF6
E:GLBL.TZF,BH000A0QZKK6
E:IJ6M051120,BH000X846420
E:IJ6M070121,BH00080RYZ44
E:IJ6M101220,BH0007045H79
E:INOVEST,BH000A0F5KT6
E:INVCORP,BH0004670806
E:ITHMR,BH000A0J2499
E:KHCB,BH000A0Q2730
E:KLJ.EQ.FUND,BH000A1CZ8W7
E:MAKASEB.AT,BH000A0J3RQ8
E:MAKASEB.IF,BH000A0J3RR6
E:MGF,BH000A0RNK96
E:NASS,BH000A0ES6M0
E:NBB,BH0005508773
E:NBK.GE.F,BH000A0RACG2
E:NBK.QE.F,BH000A0RACK4
E:NHOTEL,BH0004663983
E:POLTRY,BH0004661813
E:SALAM,BH000A0J2481
E:SEEF,BH000A0M1AY7
E:SICO-C,BH000A0F4XV8
E:SICO.GEF,BH000A1CZ8S5
E:SICO.KEF,BH00016X01B0
E:SOLID,BH0004659858
E:SPKL,BH0005186984
E:SPRINKLE,BH0005186984
E:TAIB,BH0004668594
E:TAKAFUL,BH0004668917
E:TB1Y240621,BH0005135973
E:TB3M020920,BH000J3R14B5
E:TB3M050820,BH000632L3G9
E:TB3M071020,BH0009106S52
E:TB3M090920,BH000E191051
E:TB3M120820,BH000A43U095
E:TB3M230920,BH0001925M62
E:TB3M300920,BH00040895U3
E:TB6M081120,BH00091900O2
E:TB6M271220,BH0003764C31
E:TB6M291120,BH0002A1ZP39
E:TRAFCO,BH0004663116
E:UGH,BH0001156387
E:UGIC,BH0004696793
E:UPI,BH000A0F5KR0
E:ZAINBH,BH000421H896
