rts-ticker,isin
I:AEX,NL0000000107
I:AMX,NL0000249274
I:ASCX,NL0000249142
I:BEL20,BE0389555039
I:N100,FR0003502079
I:N150,FR0003502087
I:OSEBX,NO0007035327
I:PSI20,PTING0200002
I:PX1,FR0003500008
